data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE118_P_1.0_1,10,11,5,1,OPTIMAL,1544.8884340961063,1544.740523354304,9.574202158406822e-5,1351.5640869140625,10.0
IEEE118_P_1.0_1,15,11,5,1,OPTIMAL,1534.3124060309772,1534.3048585959143,4.9190992872077845e-6,191.46486854553223,15.0
IEEE118_P_1.0_1,20,11,5,1,OPTIMAL,1531.773680521164,1531.621952885345,9.905355977078311e-5,41.93190383911133,20.0
IEEE118_P_1.0_1,25,11,5,1,OPTIMAL,1531.7147093983147,1531.621952885343,6.055730378671823e-5,11.282913208007812,25.0
IEEE118_P_1.0_2,10,11,5,1,OPTIMAL,1603.5817897609686,1603.581789760965,0.0,9.857122421264648,10.0
IEEE118_P_1.0_2,15,11,5,1,OPTIMAL,1594.1370523867954,1593.9944960859468,8.942537320435676e-5,600.7047843933105,15.0
IEEE118_P_1.0_2,20,11,5,1,OPTIMAL,1594.1171086741551,1593.9944960859361,7.691567172312532e-5,90.7716121673584,20.0
IEEE118_P_1.0_2,25,11,5,1,TIME_LIMIT,1595.7079892529366,1591.6233177850613,0.0025597863113962466,3600.0259437561035,24.00000787583656
IEEE118_P_1.0_3,10,11,5,1,OPTIMAL,1601.6793015620842,1601.6793015620842,0.0,86.74917221069336,10.0
IEEE118_P_1.0_3,15,11,5,1,OPTIMAL,1599.0824568228793,1598.9794253589978,6.443161416842388e-5,282.2594699859619,15.000000000499341
IEEE118_P_1.0_3,20,11,5,1,OPTIMAL,1599.0818406515152,1599.0717901329197,6.2851808707099795e-6,360.7765827178955,20.0
IEEE118_P_1.0_3,25,11,5,1,OPTIMAL,1599.100318683331,1599.0717901329313,1.784037565768972e-5,35.74456977844238,25.0
IEEE118_P_1.0_4,10,11,5,1,OPTIMAL,1689.8717957865879,1689.8717957865879,0.0,5.591297149658203,10.0
IEEE118_P_1.0_4,15,11,5,1,OPTIMAL,1680.2196025315166,1680.2196025315166,0.0,199.29404640197754,15.0
IEEE118_P_1.0_4,20,11,5,1,TIME_LIMIT,1679.6021118237875,1678.4100643456861,0.0007097201591435126,3600.0339393615723,20.0
IEEE118_P_1.0_4,25,11,5,1,OPTIMAL,1678.8040312784894,1678.7163643611248,5.2219863504809116e-5,12.350868225097656,25.0
IEEE118_P_1.0_5,10,11,5,1,OPTIMAL,1454.0093317211636,1454.0093317211636,0.0,91.03864288330078,10.0
