data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE118_P_1.0_1,10,11,5,1,TIME_LIMIT,1545.1088211500576,1531.677291280975,0.008692934559188684,60.05670928955078,10.0
IEEE118_P_1.0_1,15,11,5,1,TIME_LIMIT,1534.9992605697153,1531.6219528853644,0.002200201505698032,60.01423263549805,14.999999910444728
IEEE118_P_1.0_1,20,11,5,1,OPTIMAL,1531.773680521164,1531.621952885345,9.905355977078311e-5,40.709354400634766,20.0
IEEE118_P_1.0_1,25,11,5,1,OPTIMAL,1531.7147093983147,1531.621952885343,6.055730378671823e-5,11.170299530029297,25.0
IEEE118_P_1.0_2,10,11,5,1,OPTIMAL,1603.5817897609686,1603.581789760965,0.0,9.799592971801758,10.0
IEEE118_P_1.0_2,15,11,5,1,TIME_LIMIT,1596.7614264976737,1590.725502037121,0.0037801041285120698,60.01698875427246,15.0
IEEE118_P_1.0_2,20,11,5,1,TIME_LIMIT,1595.7260641920316,1591.623317785128,0.0025710844103940794,60.0247859954834,20.0
IEEE118_P_1.0_2,25,11,5,1,TIME_LIMIT,1595.7170867385883,1591.623317785061,0.0025654729071644044,60.01898384094238,25.0
IEEE118_P_1.0_3,10,11,5,1,TIME_LIMIT,1608.963117727254,1597.6491806857782,0.007031818763787046,60.01656532287598,10.0
IEEE118_P_1.0_3,15,11,5,1,TIME_LIMIT,1599.0824568228793,1597.0841494338385,0.001249658753064594,60.01988410949707,15.000000000499341
IEEE118_P_1.0_3,20,11,5,1,TIME_LIMIT,1600.49129584528,1598.9970332981225,0.0009336274124305408,60.037851333618164,20.0
IEEE118_P_1.0_3,25,11,5,1,OPTIMAL,1599.100318683331,1599.0717901329313,1.784037565768972e-5,34.13762855529785,25.0
IEEE118_P_1.0_4,10,11,5,1,OPTIMAL,1689.8717957865879,1689.8717957865879,0.0,5.1771240234375,10.0
IEEE118_P_1.0_4,15,11,5,1,TIME_LIMIT,1681.0035657896706,1679.5966344612775,0.0008369591576280416,60.02654457092285,15.0
IEEE118_P_1.0_4,20,11,5,1,TIME_LIMIT,1679.6952765036299,1678.4100643456843,0.0007651460213788381,60.02378463745117,20.0
IEEE118_P_1.0_4,25,11,5,1,OPTIMAL,1678.8040312784894,1678.7163643611248,5.2219863504809116e-5,9.865434646606445,25.0
IEEE118_P_1.0_5,10,11,5,1,TIME_LIMIT,1454.5088353249225,1451.1787546330831,0.002289488115137835,60.01780128479004,10.0
