data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE118_P_0.95_1,45,14,5,1,OPTIMAL,1270.767451,1270.640514,9.99E-05,2887.004293,41
IEEE118_P_0.95_2,45,14,5,1,OPTIMAL,1198.102937,1197.986951,9.68E-05,4.786657333,42
IEEE118_P_0.95_3,45,14,5,1,OPTIMAL,1287.266727,1287.236065,2.38E-05,7.155002594,40
IEEE118_P_0.95_4,45,14,5,1,OPTIMAL,1200.486226,1200.398685,7.29E-05,7.072908401,38
IEEE118_P_0.95_5,45,14,5,1,OPTIMAL,1293.850779,1293.785889,5.02E-05,5.414731979,44
IEEE118_P_0.95_6,45,14,5,1,OPTIMAL,1290.109172,1290.098743,8.08E-06,4.344987869,41
IEEE118_P_0.95_7,45,14,5,1,OPTIMAL,1268.040588,1267.965435,5.93E-05,12.10397148,44
IEEE118_P_0.95_8,45,14,5,1,OPTIMAL,1263.771252,1263.733418,2.99E-05,5.018880844,43
IEEE118_P_0.95_9,45,14,5,1,OPTIMAL,1233.333495,1233.215293,9.58E-05,11.84482574,36
IEEE118_P_0.95_10,45,14,5,1,OPTIMAL,1261.615652,1261.539298,6.05E-05,12.19906998,40
IEEE118_P_0.95_11,45,14,5,1,OPTIMAL,1321.175516,1321.112553,4.77E-05,10.48882866,35
IEEE118_P_0.95_12,45,14,5,1,OPTIMAL,1249.537847,1249.420655,9.38E-05,23.77264786,44
IEEE118_P_0.95_13,45,14,5,1,OPTIMAL,1262.051124,1261.954477,7.66E-05,72.02956009,40
IEEE118_P_0.95_14,45,14,5,1,OPTIMAL,1212.355505,1212.354958,4.52E-07,20.68418312,38
IEEE118_P_0.95_15,45,14,5,1,OPTIMAL,1243.925737,1243.876405,3.97E-05,4.69165802,39
IEEE118_P_0.95_16,45,14,5,1,OPTIMAL,1274.154783,1274.058562,7.55E-05,5.11662674,38
IEEE118_P_0.95_17,45,14,5,1,OPTIMAL,1291.2345,1291.107109,9.87E-05,2136.154558,40
IEEE118_P_0.95_18,45,14,5,1,OPTIMAL,1270.62492,1270.620311,3.63E-06,6.957151413,44
IEEE118_P_0.95_19,45,14,5,1,OPTIMAL,1239.981997,1239.935442,3.75E-05,5.742918015,44
IEEE118_P_0.95_20,45,14,5,1,OPTIMAL,1281.729804,1281.678257,4.02E-05,6.624967575,41
IEEE118_P_1.0_1,45,11,5,1,TIME_LIMIT,1534.304325,1529.437045,0.003172304,3600.423756,37.99999639
IEEE118_P_1.0_2,45,11,5,1,OPTIMAL,1594.107621,1593.994496,7.10E-05,14.00629234,44
IEEE118_P_1.0_3,45,11,5,1,OPTIMAL,1599.071839,1599.07179,3.07E-08,22.34218025,38
IEEE118_P_1.0_4,45,11,5,1,OPTIMAL,1678.784883,1678.681372,6.17E-05,109.7821236,40
IEEE118_P_1.0_5,45,11,5,1,OPTIMAL,1449.96315,1449.887683,5.20E-05,7.503473282,40
IEEE118_P_1.0_6,45,11,5,1,OPTIMAL,1497.360016,1497.354583,3.63E-06,7.638250351,44
IEEE118_P_1.0_7,45,11,5,1,OPTIMAL,1500.820595,1500.788553,2.13E-05,8.493778229,39
IEEE118_P_1.0_8,45,11,5,1,OPTIMAL,1534.001768,1533.991516,6.68E-06,11.43716431,42
IEEE118_P_1.0_9,45,11,5,1,OPTIMAL,1598.562571,1598.562027,3.40E-07,54.87432861,39
IEEE118_P_1.0_10,45,11,5,1,OPTIMAL,1605.854594,1605.826447,1.75E-05,12.92718315,39
IEEE118_P_1.0_11,45,11,5,1,OPTIMAL,1482.848512,1482.749307,6.69E-05,5.58158493,44
IEEE118_P_1.0_12,45,11,5,1,OPTIMAL,1456.878727,1456.818293,4.15E-05,8.660581589,40
IEEE118_P_1.0_13,45,11,5,1,OPTIMAL,1489.234732,1489.141562,6.26E-05,46.92790413,45
IEEE118_P_1.0_14,45,11,5,1,OPTIMAL,1632.689881,1632.676585,8.14E-06,6.28291893,43
IEEE118_P_1.0_15,45,11,5,1,OPTIMAL,1688.294529,1688.267244,1.62E-05,9.358646393,39
IEEE118_P_1.0_16,45,11,5,1,OPTIMAL,1451.947208,1451.876462,4.87E-05,6.780263901,40
IEEE118_P_1.0_17,45,11,5,1,OPTIMAL,1733.804369,1733.721365,4.79E-05,9.854669571,39
IEEE118_P_1.0_18,45,11,5,1,OPTIMAL,1615.514743,1615.461381,3.30E-05,9.943082809,34
IEEE118_P_1.0_19,45,11,5,1,OPTIMAL,1587.017016,1586.965437,3.25E-05,35.26208305,39
IEEE118_P_1.0_20,45,11,5,1,OPTIMAL,1457.459462,1457.453619,4.01E-06,10.5079937,35
IEEE118_P_1.05_1,45,11,5,1,OPTIMAL,1864.099845,1864.099715,6.99E-08,18.5026226,37
IEEE118_P_1.05_2,45,11,5,1,TIME_LIMIT,1889.740552,1888.680709,0.000560841,3600.013863,32.00000847
IEEE118_P_1.05_3,45,11,5,1,OPTIMAL,1919.89806,1919.742814,8.09E-05,4.334095001,40
IEEE118_P_1.05_4,45,11,5,1,OPTIMAL,1955.051131,1955.048883,1.15E-06,7.848485947,39
IEEE118_P_1.05_5,45,11,5,1,OPTIMAL,1977.829459,1977.82644,1.53E-06,7.210771561,38.9999938
IEEE118_P_1.05_6,45,11,5,1,OPTIMAL,1868.891097,1868.855194,1.92E-05,3.031682968,45
IEEE118_P_1.05_7,45,11,5,1,TIME_LIMIT,1754.663722,1754.427469,0.000134643,3600.020571,37.0000097
IEEE118_P_1.05_8,45,11,5,1,OPTIMAL,1786.442441,1786.439703,1.53E-06,15.35272598,42
IEEE118_P_1.05_9,45,11,5,1,OPTIMAL,1824.799286,1824.719402,4.38E-05,5.915016174,41
IEEE118_P_1.05_10,45,11,5,1,OPTIMAL,1893.786303,1893.780868,2.87E-06,3.429973602,39
IEEE118_P_1.05_11,45,11,5,1,OPTIMAL,1969.332365,1969.165808,8.46E-05,23.1139431,37
IEEE118_P_1.05_12,45,11,5,1,TIME_LIMIT,2058.018293,2057.511392,0.000246306,3600.016813,38.0000185
IEEE118_P_1.05_13,45,11,5,1,OPTIMAL,1999.477041,1999.477041,0,17.48150826,32
IEEE118_P_1.05_14,45,11,5,1,OPTIMAL,1749.294829,1749.294456,2.13E-07,6.326023102,43
IEEE118_P_1.05_15,45,11,5,1,OPTIMAL,1893.315707,1893.315707,0,12.89557076,37.00000866
IEEE118_P_1.05_16,45,11,5,1,OPTIMAL,1820.162687,1820.038844,6.80E-05,126.7762985,42
IEEE118_P_1.05_17,45,11,5,1,OPTIMAL,1793.548928,1793.546164,1.54E-06,5.906442642,34
IEEE118_P_1.05_18,45,11,5,1,OPTIMAL,1828.325969,1828.32462,7.38E-07,2.856784821,36
IEEE118_P_1.05_19,45,11,5,1,OPTIMAL,1901.176169,1901.163334,6.75E-06,30.85152054,37
IEEE118_P_1.05_20,45,11,5,1,OPTIMAL,2167.051342,2166.978278,3.37E-05,7.056861877,35
