data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE118_P_0.95_1,45,14,5,1,TIME_LIMIT,1270.771578,1270.488118,0.000223061,60.04137802,38
IEEE118_P_0.95_2,45,14,5,1,OPTIMAL,1198.102937,1197.986951,9.68E-05,2.525337219,42
IEEE118_P_0.95_3,45,14,5,1,OPTIMAL,1287.266727,1287.236065,2.38E-05,3.241559982,40
IEEE118_P_0.95_4,45,14,5,1,OPTIMAL,1200.486226,1200.398685,7.29E-05,3.884685516,38
IEEE118_P_0.95_5,45,14,5,1,OPTIMAL,1293.850779,1293.785889,5.02E-05,3.567365646,44
IEEE118_P_0.95_6,45,14,5,1,OPTIMAL,1290.109172,1290.098743,8.08E-06,2.349515915,41
IEEE118_P_0.95_7,45,14,5,1,OPTIMAL,1268.040588,1267.965435,5.93E-05,8.240831375,44
IEEE118_P_0.95_8,45,14,5,1,OPTIMAL,1263.771252,1263.733418,2.99E-05,3.273021698,43
IEEE118_P_0.95_9,45,14,5,1,OPTIMAL,1233.333495,1233.215293,9.58E-05,8.045948029,36
IEEE118_P_0.95_10,45,14,5,1,OPTIMAL,1261.615652,1261.539298,6.05E-05,7.284723282,40
IEEE118_P_0.95_11,45,14,5,1,OPTIMAL,1321.175516,1321.112553,4.77E-05,6.324052811,35
IEEE118_P_0.95_12,45,14,5,1,OPTIMAL,1249.537847,1249.420655,9.38E-05,16.87743187,44
IEEE118_P_0.95_13,45,14,5,1,OPTIMAL,1262.051124,1261.954477,7.66E-05,52.27638626,40
IEEE118_P_0.95_14,45,14,5,1,OPTIMAL,1212.355505,1212.354958,4.52E-07,13.93357277,38
IEEE118_P_0.95_15,45,14,5,1,OPTIMAL,1243.925737,1243.876405,3.97E-05,2.285827637,39
IEEE118_P_0.95_16,45,14,5,1,OPTIMAL,1274.154783,1274.058562,7.55E-05,3.018846512,38
IEEE118_P_0.95_17,45,14,5,1,TIME_LIMIT,1291.304916,1291.107109,0.000153185,60.03126717,42
IEEE118_P_0.95_18,45,14,5,1,OPTIMAL,1270.62492,1270.620311,3.63E-06,4.26974678,44
IEEE118_P_0.95_19,45,14,5,1,OPTIMAL,1239.981997,1239.935442,3.75E-05,3.019636154,44
IEEE118_P_0.95_20,45,14,5,1,OPTIMAL,1281.729804,1281.678257,4.02E-05,4.164844513,41
IEEE118_P_1.0_1,45,11,5,1,TIME_LIMIT,1539.782265,1529.437045,0.006718625,60.0357399,35
IEEE118_P_1.0_2,45,11,5,1,OPTIMAL,1594.107621,1593.994496,7.10E-05,4.214969635,44
IEEE118_P_1.0_3,45,11,5,1,OPTIMAL,1599.071839,1599.07179,3.07E-08,8.890787125,38
IEEE118_P_1.0_4,45,11,5,1,OPTIMAL,1678.784883,1678.681372,6.17E-05,40.35225677,40
IEEE118_P_1.0_5,45,11,5,1,OPTIMAL,1449.96315,1449.887683,5.20E-05,2.225387573,40
IEEE118_P_1.0_6,45,11,5,1,OPTIMAL,1497.360016,1497.354583,3.63E-06,3.05557251,44
IEEE118_P_1.0_7,45,11,5,1,OPTIMAL,1500.820595,1500.788553,2.13E-05,2.248397827,39
