data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,,,,,,,,,
IEEE118_P_100_1,10,TIME_LIMIT,1544.888434,1533.80957,0.007171304,3600.398094,10,,,,,,,,,,
IEEE118_P_100_1,15,TIME_LIMIT,1534.99965,1531.621953,0.002200454,3600.035883,15,,,,,,,,,,
IEEE118_P_100_1,20,OPTIMAL,1531.681857,1531.621953,3.91E-05,197.158577,20,,,,,,,,,,
IEEE118_P_100_1,25,TIME_LIMIT,1533.437941,1529.437045,0.002609102,3600.417341,25,,,,,,,,,,
IEEE118_P_100_2,10,TIME_LIMIT,1607.464185,1596.320469,0.006932482,3600.039066,10,,,,,,,,,,
IEEE118_P_100_2,15,TIME_LIMIT,1596.756492,1590.854846,0.003696022,3600.081329,14.99999745,,,,,,,,,,
IEEE118_P_100_2,20,TIME_LIMIT,1595.703598,1589.246116,0.004046793,3600.085968,19.00000102,,,,,,,,,,
IEEE118_P_100_2,25,TIME_LIMIT,1593.996755,1589.931163,0.002550565,3600.120512,25,,,,,,,,,,
IEEE118_P_100_3,10,TIME_LIMIT,1601.679302,1597.649181,0.002516185,3600.093061,10,,,,,,,,,,
IEEE118_P_100_3,15,TIME_LIMIT,1600.373812,1597.084149,0.002055559,3600.082848,13.99999889,,,,,,,,,,
IEEE118_P_100_3,20,TIME_LIMIT,1599.010277,1597.084149,0.001204575,3600.05501,19.00000727,,,,,,,,,,
IEEE118_P_100_3,25,TIME_LIMIT,1600.37404,1598.980303,0.000870882,3600.112324,24.00000006,,,,,,,,,,
IEEE118_P_100_4,10,OPTIMAL,1689.871796,1689.857812,8.28E-06,2422.626617,10,,,,,,,,,,
IEEE118_P_100_4,15,OPTIMAL,1680.219603,1680.136698,4.93E-05,3345.686508,15,,,,,,,,,,
IEEE118_P_100_4,20,TIME_LIMIT,1689.660614,1675.969436,0.008102916,3600.164585,18.00000123,,,,,,,,,,
IEEE118_P_100_4,25,TIME_LIMIT,1692.901235,1678.346718,0.008597381,3600.072819,24.99999644,,,,,,,,,,
IEEE118_P_100_5,10,OPTIMAL,1454.009332,1453.963476,3.15E-05,2773.383354,10,,,,,,,,,,
IEEE118_P_100_5,15,OPTIMAL,1450.028659,1449.887683,9.72E-05,341.4595547,15,,,,,,,,,,
IEEE118_P_100_5,20,OPTIMAL,1449.916898,1449.887683,2.01E-05,47.46752167,20,,,,,,,,,,
IEEE118_P_100_5,25,OPTIMAL,1449.91835,1449.887683,2.12E-05,59.02313232,23,,,,,,,,,,
IEEE118_P_100_6,10,TIME_LIMIT,1504.132649,1497.354583,0.004506295,3600.093811,10,,,,,,,,,,
IEEE118_P_100_6,15,OPTIMAL,1497.387758,1497.354583,2.22E-05,1837.577522,15,,,,,,,,,,
IEEE118_P_100_6,20,OPTIMAL,1497.410266,1497.354583,3.72E-05,47.17978859,20,,,,,,,,,,
IEEE118_P_100_6,25,OPTIMAL,1497.362182,1497.354583,5.07E-06,38.93484497,22,,,,,,,,,,
IEEE118_P_100_7,10,OPTIMAL,1500.845418,1500.788553,3.79E-05,24.2822113,9,,,,,,,,,,
IEEE118_P_100_7,15,OPTIMAL,1500.797402,1500.788553,5.90E-06,41.9637394,15,,,,,,,,,,
IEEE118_P_100_7,20,OPTIMAL,1500.813212,1500.788553,1.64E-05,40.3057766,20,,,,,,,,,,
IEEE118_P_100_7,25,OPTIMAL,1500.790539,1500.788553,1.32E-06,12.35940361,23,,,,,,,,,,
IEEE118_P_100_8,10,OPTIMAL,1540.95754,1540.926987,1.98E-05,1004.840475,10,,,,,,,,,,
IEEE118_P_100_8,15,TIME_LIMIT,1537.426393,1531.675526,0.00374058,3600.692646,15,,,,,,,,,,
IEEE118_P_100_8,20,TIME_LIMIT,1537.389701,1531.675526,0.003716803,3600.145222,19.99999539,,,,,,,,,,
IEEE118_P_100_8,25,OPTIMAL,1533.994648,1533.991516,2.04E-06,601.9003506,24,,,,,,,,,,
IEEE118_P_100_9,10,OPTIMAL,1605.618042,1605.480119,8.59E-05,1316.032766,9.999998722,,,,,,,,,,
IEEE118_P_100_9,15,OPTIMAL,1598.654919,1598.543238,6.99E-05,36.59509087,15,,,,,,,,,,
IEEE118_P_100_9,20,OPTIMAL,1598.640622,1598.543238,6.09E-05,87.92619896,18,,,,,,,,,,
IEEE118_P_100_9,25,OPTIMAL,1598.581828,1598.543238,2.41E-05,289.285387,24,,,,,,,,,,
IEEE118_P_100_10,10,OPTIMAL,1614.690843,1614.690843,0,3084.145716,10,,,,,,,,,,
IEEE118_P_100_10,15,TIME_LIMIT,1605.814133,1605.096814,0.000446701,3600.049414,13.99999458,,,,,,,,,,
IEEE118_P_100_10,20,TIME_LIMIT,1605.804267,1605.096814,0.00044056,3600.328907,18.99999186,,,,,,,,,,
IEEE118_P_100_10,25,OPTIMAL,1605.846505,1605.826447,1.25E-05,17.52203941,25,,,,,,,,,,
IEEE118_P_100_11,10,OPTIMAL,1482.752111,1482.749307,1.89E-06,119.5521832,10,,,,,,,,,,
IEEE118_P_100_11,15,OPTIMAL,1482.86216,1482.749307,7.61E-05,13.6295414,12,,,,,,,,,,
IEEE118_P_100_11,20,OPTIMAL,1482.849832,1482.749307,6.78E-05,31.30032539,20,,,,,,,,,,
IEEE118_P_100_11,25,OPTIMAL,1482.845799,1482.749307,6.51E-05,14.78046036,25,,,,,,,,,,
IEEE118_P_100_12,10,OPTIMAL,1456.884478,1456.818293,4.54E-05,63.76242828,10,,,,,,,,,,
IEEE118_P_100_12,15,OPTIMAL,1456.899888,1456.818293,5.60E-05,167.8310318,15,,,,,,,,,,
IEEE118_P_100_12,20,OPTIMAL,1456.87202,1456.818293,3.69E-05,49.84956169,20,,,,,,,,,,
IEEE118_P_100_12,25,OPTIMAL,1456.825718,1456.818293,5.10E-06,32.87862968,22,,,,,,,,,,
IEEE118_P_100_13,10,OPTIMAL,1492.935212,1492.875626,3.99E-05,73.34101677,10,,,,,,,,,,
IEEE118_P_100_13,15,TIME_LIMIT,1492.770792,1484.928915,0.005253235,3600.163609,15,,,,,,,,,,
IEEE118_P_100_13,20,TIME_LIMIT,1492.864945,1484.928915,0.005315973,3600.371746,18.00000095,,,,,,,,,,
IEEE118_P_100_13,25,OPTIMAL,1489.194678,1489.141566,3.57E-05,116.9781532,25,,,,,,,,,,
IEEE118_P_100_14,10,OPTIMAL,1645.424069,1645.384648,2.40E-05,266.6915398,10,,,,,,,,,,
IEEE118_P_100_14,15,TIME_LIMIT,1632.784647,1631.455016,0.000814333,3600.108528,15,,,,,,,,,,
IEEE118_P_100_14,20,OPTIMAL,1632.692279,1632.676585,9.61E-06,96.63947678,20,,,,,,,,,,
IEEE118_P_100_14,25,TIME_LIMIT,1632.676585,1631.455016,0.0007482,3600.064703,25,,,,,,,,,,
IEEE118_P_100_15,10,TIME_LIMIT,1694.310584,1689.421978,0.002885307,3600.057358,9.999999699,,,,,,,,,,
IEEE118_P_100_15,15,TIME_LIMIT,1694.262439,1684.2687,0.005898578,3600.079313,14.00000095,,,,,,,,,,
IEEE118_P_100_15,20,TIME_LIMIT,1688.260744,1685.511591,0.001628393,3600.387878,19.0000006,,,,,,,,,,
IEEE118_P_100_15,25,TIME_LIMIT,1688.18029,1682.987371,0.003076046,3600.059431,25,,,,,,,,,,
IEEE118_P_100_16,10,OPTIMAL,1452.955315,1452.842906,7.74E-05,2245.489195,10,,,,,,,,,,
IEEE118_P_100_16,15,OPTIMAL,1452.006201,1451.876462,8.94E-05,151.2700329,15,,,,,,,,,,
IEEE118_P_100_16,20,OPTIMAL,1451.993987,1451.876462,8.09E-05,47.74627304,20,,,,,,,,,,
IEEE118_P_100_16,25,OPTIMAL,1451.89554,1451.876462,1.31E-05,91.89148903,25,,,,,,,,,,
IEEE118_P_100_17,10,OPTIMAL,1741.937808,1741.809928,7.34E-05,3419.533802,10,,,,,,,,,,
IEEE118_P_100_17,15,OPTIMAL,1733.803806,1733.721365,4.75E-05,173.8895035,15,,,,,,,,,,
IEEE118_P_100_17,20,OPTIMAL,1733.806484,1733.721365,4.91E-05,175.881094,20,,,,,,,,,,
IEEE118_P_100_17,25,OPTIMAL,1733.838745,1733.721365,6.77E-05,48.48629379,25,,,,,,,,,,
IEEE118_P_100_18,10,OPTIMAL,1628.64358,1628.630481,8.04E-06,1376.959911,10,,,,,,,,,,
IEEE118_P_100_18,15,TIME_LIMIT,1631.845495,1612.980381,0.0115606,3600.067619,12.00000418,,,,,,,,,,
IEEE118_P_100_18,20,OPTIMAL,1615.589065,1615.461381,7.90E-05,1883.767408,20,,,,,,,,,,
IEEE118_P_100_18,25,TIME_LIMIT,1615.68767,1614.521823,0.000721579,3600.111589,25,,,,,,,,,,
IEEE118_P_100_19,10,TIME_LIMIT,1601.489131,1589.448207,0.00751858,3600.145983,10,,,,,,,,,,
IEEE118_P_100_19,15,TIME_LIMIT,1589.272669,1586.265431,0.00189221,3600.051838,15,,,,,,,,,,
IEEE118_P_100_19,20,TIME_LIMIT,1587.003792,1586.265431,0.000465255,3600.075233,19.99999808,,,,,,,,,,
IEEE118_P_100_19,25,OPTIMAL,1587.031146,1587.003793,1.72E-05,189.0402527,25,,,,,,,,,,
IEEE118_P_100_20,10,OPTIMAL,1464.0491,1463.987611,4.20E-05,709.905077,10,,,,,,,,,,
IEEE118_P_100_20,15,OPTIMAL,1457.495275,1457.453619,2.86E-05,3418.933167,15,,,,,,,,,,
IEEE118_P_100_20,20,TIME_LIMIT,1457.9354,1457.453619,0.000330454,3600.093842,20,,,,,,,,,,
IEEE118_P_100_20,25,OPTIMAL,1457.558566,1457.453619,7.20E-05,50.17677116,25,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
