data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE118_P_100_1,10,TIME_LIMIT,1552.627606,1529.437045,0.014936332,60.02632523,9.000000334,,1545.108821,1531.677291,0.008692935,60.05670929,,0.5%
IEEE118_P_100_1,15,TIME_LIMIT,1535.105781,1531.522195,0.002334423,60.02270317,15,,1534.999261,1531.621953,0.002200202,60.01423264,,0.0%
IEEE118_P_100_1,20,TIME_LIMIT,1535.002858,1531.621953,0.00220254,60.01394844,20,,1531.773681,1531.621953,9.91E-05,40.7093544,,0.2%
IEEE118_P_100_1,25,TIME_LIMIT,1534.989297,1526.742254,0.005372704,60.01211357,22.00000103,,1531.714709,1531.621953,6.06E-05,11.17029953,,0.2%
IEEE118_P_100_2,10,TIME_LIMIT,1613.902307,1589.246116,0.015277375,60.03842163,10,,1603.58179,1603.58179,0,9.799592972,,0.6%
IEEE118_P_100_2,15,TIME_LIMIT,1612.596618,1589.671775,0.014216105,60.01811218,15,,1596.761426,1590.725502,0.003780104,60.01698875,,1.0%
IEEE118_P_100_2,20,TIME_LIMIT,1596.700426,1589.246116,0.004668572,60.02062225,20,,1595.726064,1591.623318,0.002571084,60.024786,,0.1%
IEEE118_P_100_2,25,TIME_LIMIT,1595.712672,1589.671775,0.003785705,60.02492905,24.9999919,,1595.717087,1591.623318,0.002565473,60.01898384,,0.0%
IEEE118_P_100_3,10,TIME_LIMIT,1610.412913,1597.084149,0.008276613,60.02511978,10,,1608.963118,1597.649181,0.007031819,60.01656532,,0.1%
IEEE118_P_100_3,15,TIME_LIMIT,1601.084191,1597.084149,0.002498333,60.02004242,15,,1599.082457,1597.084149,0.001249659,60.01988411,,0.1%
IEEE118_P_100_3,20,TIME_LIMIT,1599.07179,1597.084149,0.001242997,60.01487541,20,,1600.491296,1598.997033,0.000933627,60.03785133,,-0.1%
IEEE118_P_100_3,25,TIME_LIMIT,1600.38152,1597.084149,0.002060365,60.01607323,25,,1599.100319,1599.07179,1.78E-05,34.13762856,,0.1%
IEEE118_P_100_4,10,TIME_LIMIT,1695.259588,1675.224819,0.011818113,60.03357506,10,,1689.871796,1689.871796,0,5.177124023,,0.3%
IEEE118_P_100_4,15,TIME_LIMIT,1692.563077,1678.410064,0.008361882,60.01990128,15,,1681.003566,1679.596634,0.000836959,60.02654457,,0.7%
