data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,,,,,,,,,,
IEEE118_P_95_1,45,OPTIMAL,1270.877995,1270.76608,8.81E-05,8.681280136,44,,,,,,,,,,,
IEEE118_P_95_2,45,TIME_LIMIT,1197.989083,1197.848114,0.000117671,3600.011044,36,,,,,,,,,,,
IEEE118_P_95_3,45,TIME_LIMIT,1287.171013,1285.916022,0.000974999,3600.034124,38.00000994,,,,,,,,,,,
IEEE118_P_95_4,45,OPTIMAL,1200.472261,1200.398685,6.13E-05,11.79138756,42,,,,,,,,,,,
IEEE118_P_95_5,45,OPTIMAL,1293.786056,1293.736714,3.81E-05,21.06824112,43,,,,,,,,,,,
IEEE118_P_95_6,45,OPTIMAL,1290.173916,1290.090294,6.48E-05,9.251096725,42,,,,,,,,,,,
IEEE118_P_95_7,45,OPTIMAL,1268.076994,1268.019518,4.53E-05,6.792448044,37,,,,,,,,,,,
IEEE118_P_95_8,45,OPTIMAL,1263.815452,1263.733418,6.49E-05,50.79365921,43,,,,,,,,,,,
IEEE118_P_95_9,45,TIME_LIMIT,1233.215293,1232.916824,0.000242025,3600.037861,37.00000177,,,,,,,,,,,
IEEE118_P_95_10,45,TIME_LIMIT,1261.539298,1260.238915,0.00103079,3600.482691,41.00000944,,,,,,,,,,,
IEEE118_P_95_11,45,TIME_LIMIT,1321.054488,1313.316329,0.005857563,3600.094797,33.99999473,,,,,,,,,,,
IEEE118_P_95_12,45,OPTIMAL,1249.501055,1249.420655,6.43E-05,36.15547562,45,,,,,,,,,,,
IEEE118_P_95_13,45,OPTIMAL,1262.122903,1262.046358,6.06E-05,10.98700714,42,,,,,,,,,,,
IEEE118_P_95_14,45,OPTIMAL,1212.343848,1212.254326,7.38E-05,80.00376129,37.00000472,,,,,,,,,,,
IEEE118_P_95_15,45,TIME_LIMIT,1243.876405,1243.596625,0.000224926,3600.048147,37.00000302,,,,,,,,,,,
IEEE118_P_95_16,45,TIME_LIMIT,1274.201775,1264.988548,0.007230587,3600.049963,41.0000071,,,,,,,,,,,
IEEE118_P_95_17,45,TIME_LIMIT,1291.242187,1288.690341,0.001976272,3600.103518,37,,,,,,,,,,,
IEEE118_P_95_18,45,OPTIMAL,1270.620672,1270.620311,2.84E-07,27.98858261,35,,,,,,,,,,,
IEEE118_P_95_19,45,TIME_LIMIT,1239.935442,1239.427849,0.00040937,3600.12487,37.99999655,,,,,,,,,,,
IEEE118_P_95_20,45,OPTIMAL,1281.754453,1281.678257,5.94E-05,15.59340286,41,,,,,,,,,,,
IEEE118_P_100_1,45,TIME_LIMIT,1536.468228,1529.816655,0.004329132,3600.175625,38.00000571,,,,,,,,,,,
IEEE118_P_100_2,45,TIME_LIMIT,1595.681956,1589.671775,0.003766528,3600.075901,38.00000238,,,,,,,,,,,
IEEE118_P_100_3,45,OPTIMAL,1599.022518,1598.893259,8.08E-05,2824.593544,36.00000818,,,,,,,,,,,
IEEE118_P_100_4,45,TIME_LIMIT,1678.735956,1675.224819,0.002091536,3600.099304,43.00000716,,,,,,,,,,,
IEEE118_P_100_5,45,OPTIMAL,1449.947155,1449.887683,4.10E-05,21.67904663,43,,,,,,,,,,,
IEEE118_P_100_6,45,OPTIMAL,1497.390934,1497.354583,2.43E-05,76.8849926,36,,,,,,,,,,,
IEEE118_P_100_7,45,OPTIMAL,1500.920225,1500.788553,8.77E-05,13.85181427,39,,,,,,,,,,,
IEEE118_P_100_8,45,OPTIMAL,1534.024958,1533.991516,2.18E-05,38.90446854,44,,,,,,,,,,,
IEEE118_P_100_9,45,TIME_LIMIT,1605.053032,1598.543238,0.004055812,3600.059389,40.99999718,,,,,,,,,,,
IEEE118_P_100_10,45,OPTIMAL,1605.982609,1605.826447,9.72E-05,26.21268654,39,,,,,,,,,,,
IEEE118_P_100_11,45,OPTIMAL,1482.808155,1482.749307,3.97E-05,16.62740898,39,,,,,,,,,,,
IEEE118_P_100_12,45,OPTIMAL,1456.836774,1456.818293,1.27E-05,14.61659431,42,,,,,,,,,,,
IEEE118_P_100_13,45,OPTIMAL,1489.285357,1489.141566,9.66E-05,58.30794525,40,,,,,,,,,,,
IEEE118_P_100_14,45,OPTIMAL,1632.766401,1632.676585,5.50E-05,24.10924721,42,,,,,,,,,,,
IEEE118_P_100_15,45,OPTIMAL,1688.273237,1688.267244,3.55E-06,33.30846786,41,,,,,,,,,,,
IEEE118_P_100_16,45,OPTIMAL,1451.960808,1451.876462,5.81E-05,34.14794159,44,,,,,,,,,,,
IEEE118_P_100_17,45,OPTIMAL,1733.730217,1733.721365,5.11E-06,21.16436195,42.00000711,,,,,,,,,,,
IEEE118_P_100_18,45,OPTIMAL,1615.564605,1615.461381,6.39E-05,216.372963,38,,,,,,,,,,,
IEEE118_P_100_19,45,TIME_LIMIT,1587.003792,1586.265431,0.000465255,3600.081894,37.99999643,,,,,,,,,,,
IEEE118_P_100_20,45,OPTIMAL,1457.462094,1457.453619,5.81E-06,20.61715889,40,,,,,,,,,,,
IEEE118_P_105_1,45,TIME_LIMIT,1864.063723,1861.057184,0.001612895,3601.059599,42.00000236,,,,,,,,,,,
IEEE118_P_105_2,45,OPTIMAL,1889.747049,1889.747049,0,52.51262093,32,,,,,,,,,,,
IEEE118_P_105_3,45,TIME_LIMIT,1923.320206,1919.213583,0.002135174,3601.349586,38.00000994,,,,,,,,,,,
IEEE118_P_105_4,45,TIME_LIMIT,1955.046446,1952.551886,0.001275959,3600.058794,41.99999332,,,,,,,,,,,
IEEE118_P_105_5,45,TIME_LIMIT,1977.7432,1975.311472,0.001229547,3600.094042,39.000005,,,,,,,,,,,
IEEE118_P_105_6,45,OPTIMAL,1868.855233,1868.855194,2.06E-08,163.4068165,32,,,,,,,,,,,
IEEE118_P_105_7,45,TIME_LIMIT,1754.609403,1754.427469,0.000103689,3600.18306,33.0000039,,,,,,,,,,,
IEEE118_P_105_8,45,OPTIMAL,1786.437953,1786.437953,0,132.6901169,41.00000029,,,,,,,,,,,
IEEE118_P_105_9,45,OPTIMAL,1824.851622,1824.719402,7.25E-05,23.80897713,42,,,,,,,,,,,
IEEE118_P_105_10,45,TIME_LIMIT,1893.728599,1891.756071,0.00104161,3600.115925,42.00000474,,,,,,,,,,,
IEEE118_P_105_11,45,OPTIMAL,1969.33145,1969.142066,9.62E-05,415.3603497,37,,,,,,,,,,,
IEEE118_P_105_12,45,OPTIMAL,2032.887017,2032.840794,2.27E-05,18.15386009,39,,,,,,,,,,,
IEEE118_P_105_13,45,TIME_LIMIT,1999.41136,1997.733429,0.000839213,3602.323759,36.00000382,,,,,,,,,,,
IEEE118_P_105_14,45,OPTIMAL,1749.295089,1749.294456,3.61E-07,58.29171562,42,,,,,,,,,,,
IEEE118_P_105_15,45,OPTIMAL,1893.447344,1893.31894,6.78E-05,52.47941589,38,,,,,,,,,,,
IEEE118_P_105_16,45,TIME_LIMIT,1820.112956,1818.540677,0.000863836,3600.101215,27.99999684,,,,,,,,,,,
IEEE118_P_105_17,45,OPTIMAL,1793.628268,1793.546164,4.58E-05,65.38849068,40,,,,,,,,,,,
IEEE118_P_105_18,45,OPTIMAL,1828.343592,1828.32462,1.04E-05,45.47298622,43,,,,,,,,,,,
IEEE118_P_105_19,45,OPTIMAL,1901.22717,1901.073635,8.08E-05,22.48561287,34,,,,,,,,,,,
IEEE118_P_105_20,45,TIME_LIMIT,2136.17532,2132.267174,0.001829506,3601.186073,35.00000319,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
