data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE118_P_95_1,45,OPTIMAL,1270.877995,1270.76608,8.81E-05,7.979988098,44,,1270.771578,1270.488118,0.000223061,60.04137802,,0.0%
IEEE118_P_95_2,45,TIME_LIMIT,1198.206764,1197.848114,0.000299322,60.02829552,40,,1198.102937,1197.986951,9.68E-05,2.525337219,,0.0%
IEEE118_P_95_3,45,TIME_LIMIT,1287.237483,1284.891712,0.001822329,60.02574348,38.00000198,,1287.266727,1287.236065,2.38E-05,3.241559982,,0.0%
IEEE118_P_95_4,45,OPTIMAL,1200.472261,1200.398685,6.13E-05,10.61911774,42,,1200.486226,1200.398685,7.29E-05,3.884685516,,0.0%
IEEE118_P_95_5,45,OPTIMAL,1293.786056,1293.736714,3.81E-05,20.26744652,43,,1293.850779,1293.785889,5.02E-05,3.567365646,,0.0%
IEEE118_P_95_6,45,OPTIMAL,1290.173916,1290.090294,6.48E-05,9.36438942,42,,1290.109172,1290.098743,8.08E-06,2.349515915,,0.0%
IEEE118_P_95_7,45,OPTIMAL,1268.076994,1268.019518,4.53E-05,6.800737381,37,,1268.040588,1267.965435,5.93E-05,8.240831375,,0.0%
IEEE118_P_95_8,45,OPTIMAL,1263.815452,1263.733418,6.49E-05,50.33262634,43,,1263.771252,1263.733418,2.99E-05,3.273021698,,0.0%
IEEE118_P_95_9,45,TIME_LIMIT,1233.218745,1232.916824,0.000244824,60.02066803,40,,1233.333495,1233.215293,9.58E-05,8.045948029,,0.0%
IEEE118_P_95_10,45,TIME_LIMIT,1261.582855,1260.238915,0.001065281,60.02179909,35,,1261.615652,1261.539298,6.05E-05,7.284723282,,0.0%
IEEE118_P_95_11,45,TIME_LIMIT,1321.112866,1313.316329,0.005901492,60.02879715,33,,1321.175516,1321.112553,4.77E-05,6.324052811,,0.0%
IEEE118_P_95_12,45,OPTIMAL,1249.501055,1249.420655,6.43E-05,13.533535,45,,1249.537847,1249.420655,9.38E-05,16.87743187,,0.0%
IEEE118_P_95_13,45,OPTIMAL,1262.122903,1262.046358,6.06E-05,3.136886597,42,,1262.051124,1261.954477,7.66E-05,52.27638626,,0.0%
IEEE118_P_95_14,45,OPTIMAL,1212.343848,1212.254326,7.38E-05,43.10856819,37.00000472,,1212.355505,1212.354958,4.52E-07,13.93357277,,0.0%
IEEE118_P_95_15,45,TIME_LIMIT,1243.89339,1243.596625,0.000238578,60.03147697,40,,1243.925737,1243.876405,3.97E-05,2.285827637,,0.0%
IEEE118_P_95_16,45,TIME_LIMIT,1274.269747,1264.682138,0.007524002,60.01324463,41,,1274.154783,1274.058562,7.55E-05,3.018846512,,0.0%
IEEE118_P_95_17,45,TIME_LIMIT,1291.628323,1288.690341,0.002274634,60.02733803,44,,1291.304916,1291.107109,0.000153185,60.03126717,,0.0%
IEEE118_P_95_18,45,OPTIMAL,1270.620672,1270.620311,2.84E-07,8.289783478,35,,1270.62492,1270.620311,3.63E-06,4.26974678,,0.0%
IEEE118_P_95_19,45,TIME_LIMIT,1240.037322,1239.255097,0.000630808,60.03017807,37,,1239.981997,1239.935442,3.75E-05,3.019636154,,0.0%
