data_instance,card,size_candi,time,obj_val,num_open,idx_rm_branch
IEEE118_P_0.95_1,45,1,0.324,1761.8792474734278,0,
IEEE118_P_0.95_1,45,2,0.085,1761.8792474734278,0,
IEEE118_P_0.95_2,45,1,0.038,1533.9161848202139,0,
IEEE118_P_0.95_2,45,2,0.07,1533.9161848202139,0,
IEEE118_P_0.95_3,45,1,0.034,1811.473080402156,0,
IEEE118_P_0.95_3,45,2,0.043,1811.473080402156,0,
IEEE118_P_0.95_4,45,1,0.05,1519.2836137790957,0,
IEEE118_P_0.95_4,45,2,0.053,1519.2836137790957,0,
IEEE118_P_0.95_5,45,1,0.04,1775.0586715592788,0,
IEEE118_P_0.95_5,45,2,0.046,1775.0586715592788,0,
IEEE118_P_0.95_6,45,1,0.028,1822.0266323478816,0,
IEEE118_P_0.95_6,45,2,0.054,1822.0266323478816,0,
IEEE118_P_0.95_7,45,1,0.028,1781.785394124717,0,
IEEE118_P_0.95_7,45,2,0.041,1781.785394124717,0,
IEEE118_P_0.95_8,45,1,0.028,1782.1136827524301,0,
IEEE118_P_0.95_8,45,2,0.053,1782.1136827524301,0,
IEEE118_P_0.95_9,45,1,0.03,1590.7488283553116,0,
IEEE118_P_0.95_9,45,2,0.047,1590.7488283553116,0,
IEEE118_P_0.95_10,45,1,0.038,1673.582471289658,0,
IEEE118_P_0.95_10,45,2,0.056,1673.582471289658,0,
IEEE118_P_0.95_11,45,1,0.05,1870.3746863923795,0,
IEEE118_P_0.95_11,45,2,0.067,1870.3746863923795,0,
IEEE118_P_0.95_12,45,1,0.059,1647.3249605870667,0,
IEEE118_P_0.95_12,45,2,0.046,1647.3249605870667,0,
IEEE118_P_0.95_13,45,1,0.03,1750.64141442969,0,
IEEE118_P_0.95_13,45,2,0.056,1750.64141442969,0,
IEEE118_P_0.95_14,45,1,0.029,1548.3603838037666,0,
IEEE118_P_0.95_14,45,2,0.061,1548.3603838037666,0,
IEEE118_P_0.95_15,45,1,0.032,1571.7592223740762,0,
IEEE118_P_0.95_15,45,2,0.068,1571.7592223740762,0,
IEEE118_P_0.95_16,45,1,0.028,1800.5127465878104,0,
IEEE118_P_0.95_16,45,2,0.045,1800.5127465878104,0,
IEEE118_P_0.95_17,45,1,0.029,1767.0259931689993,0,
IEEE118_P_0.95_17,45,2,0.041,1767.0259931689993,0,
IEEE118_P_0.95_18,45,1,0.04,1798.865128240209,0,
IEEE118_P_0.95_18,45,2,0.042,1798.865128240209,0,
IEEE118_P_0.95_19,45,1,0.03,1625.2342682861906,0,
IEEE118_P_0.95_19,45,2,0.044,1625.2342682861906,0,
IEEE118_P_0.95_20,45,1,0.03,1731.6791190571487,0,
IEEE118_P_0.95_20,45,2,0.054,1731.6791190571487,0,
IEEE118_P_1.0_1,45,1,0.028,2054.1798930388054,0,
IEEE118_P_1.0_1,45,2,0.043,2054.1798930388054,0,
IEEE118_P_1.0_2,45,1,0.029,2137.7175216685837,0,
IEEE118_P_1.0_2,45,2,0.06,2137.7175216685837,0,
IEEE118_P_1.0_3,45,1,0.044,2126.2725501073273,0,
IEEE118_P_1.0_3,45,2,0.056,2126.2725501073273,0,
