data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE118_P_1.0_1,10,11,5,1,TIME_LIMIT,1544.8884340961106,1537.5256767235287,0.004765882901369323,600.0136699676514,10.0
IEEE118_P_1.0_1,15,11,5,1,OPTIMAL,1534.423514514388,1533.0299010040083,0.0009082326340787248,96.56667709350586,15.0
IEEE118_P_1.0_1,20,11,5,1,OPTIMAL,1531.8727333852485,1531.6219528853435,0.0001637084429009863,16.333662033081055,20.0
IEEE118_P_1.0_1,25,11,5,1,OPTIMAL,1531.6964682463886,1531.6219528853428,4.864890831215433e-5,7.753059387207031,24.0
IEEE118_P_1.0_2,10,11,5,1,OPTIMAL,1603.5817897609686,1603.1285302029105,0.00028265446823617934,9.645336151123047,10.0
IEEE118_P_1.0_2,15,11,5,1,OPTIMAL,1594.3917959732958,1593.9944960859355,0.00024918585780716034,35.41596603393555,15.0
IEEE118_P_1.0_2,20,11,5,1,OPTIMAL,1595.0098849680603,1593.9944960859375,0.0006366035042742945,87.53072929382324,20.0
IEEE118_P_1.0_2,25,11,5,1,TIME_LIMIT,1595.708559369601,1591.623317785061,0.0025601426780300553,600.0264701843262,24.00000710014001
IEEE118_P_1.0_3,10,11,5,1,OPTIMAL,1601.6793015620842,1600.1223817917996,0.0009720546233981815,77.15447425842285,10.0
IEEE118_P_1.0_3,15,11,5,1,OPTIMAL,1599.0824568228793,1597.5079621249843,0.000984623832984387,263.4039134979248,15.000000000499341
IEEE118_P_1.0_3,20,11,5,1,OPTIMAL,1600.4912958452805,1598.9970332981222,0.0009336274124309668,52.12450408935547,20.0
IEEE118_P_1.0_3,25,11,5,1,OPTIMAL,1600.3740959046597,1599.0717901329313,0.000813750844293879,32.51295471191406,25.0
IEEE118_P_1.0_4,10,11,5,1,OPTIMAL,1690.2882812055782,1689.674968003115,0.00036284532602077433,4.634309768676758,10.0
IEEE118_P_1.0_4,15,11,5,1,OPTIMAL,1681.0035657896715,1679.3425570567026,0.000988105419150963,45.066505432128906,15.0
IEEE118_P_1.0_4,20,11,5,1,OPTIMAL,1679.7833375642244,1678.4100643456845,0.000817529968198891,4.211580276489258,20.0
IEEE118_P_1.0_4,25,11,5,1,OPTIMAL,1679.0019950317214,1678.7163643611245,0.00017011931578527124,4.08203125,25.0
IEEE118_P_1.0_5,10,11,5,1,OPTIMAL,1454.0093317211636,1452.6683913012453,0.0009222364607048137,82.51689720153809,10.0
IEEE118_P_1.0_5,15,11,5,1,OPTIMAL,1450.2384035643609,1449.8876825712916,0.0002418367850466678,5.245500564575195,15.0
IEEE118_P_1.0_5,20,11,5,1,OPTIMAL,1450.8876829862606,1449.8876825712862,0.0006892335131801757,4.674829483032227,20.0
IEEE118_P_1.0_5,25,11,5,1,OPTIMAL,1449.903235227876,1449.8876825712873,1.0726685899270002e-5,2.669130325317383,25.0
IEEE118_P_1.0_6,10,11,5,1,OPTIMAL,1504.132653911119,1502.747594607658,0.0009208358716630144,46.07097244262695,10.0
IEEE118_P_1.0_6,15,11,5,1,OPTIMAL,1497.5485697870795,1497.3545831815932,0.00012953610280159184,7.514656066894531,15.0
IEEE118_P_1.0_6,20,11,5,1,OPTIMAL,1497.3993436085634,1497.3545831815952,2.9892110717992213e-5,27.88746452331543,20.0
IEEE118_P_1.0_6,25,11,5,1,OPTIMAL,1498.6660389813023,1497.3545831816004,0.000875082083392864,7.15521240234375,25.0
IEEE118_P_1.0_7,10,11,5,1,OPTIMAL,1501.0153251349209,1500.7885527664002,0.00015107931592920826,2.6351490020751953,10.0
IEEE118_P_1.0_7,15,11,5,1,OPTIMAL,1500.8325306004392,1500.788552766385,2.9302292665930666e-5,2.1799869537353516,15.0
IEEE118_P_1.0_7,20,11,5,1,OPTIMAL,1501.4212670799175,1500.7885527663843,0.0004214102513438452,2.4335899353027344,20.0
IEEE118_P_1.0_7,25,11,5,1,OPTIMAL,1501.9333920541383,1500.7885527664291,0.0007622437145121279,1.7893085479736328,25.0
IEEE118_P_1.0_8,10,11,5,1,OPTIMAL,1540.957539748968,1539.470599469715,0.0009649456528797729,47.78114128112793,10.0
IEEE118_P_1.0_8,15,11,5,1,TIME_LIMIT,1541.5913107277888,1531.6755264868364,0.006432174449835993,600.0194854736328,14.999990612044826
IEEE118_P_1.0_8,20,11,5,1,OPTIMAL,1534.341113590941,1533.9915158834908,0.00022784875172375348,14.675588607788086,20.0
IEEE118_P_1.0_8,25,11,5,1,OPTIMAL,1534.2658188714502,1533.9915158834901,0.00017878452650518827,5.435380935668945,25.0
IEEE118_P_1.0_9,10,11,5,1,OPTIMAL,1605.9302205955044,1605.6259377738043,0.00018947449758263213,12.772842407226562,10.0
IEEE118_P_1.0_9,15,11,5,1,TIME_LIMIT,1605.0642195256316,1598.543238387824,0.004062754037177969,600.0263805389404,15.0
IEEE118_P_1.0_9,20,11,5,1,OPTIMAL,1599.0901980061835,1598.5620274631074,0.0003302944034893742,8.47000503540039,19.0
IEEE118_P_1.0_9,25,11,5,1,OPTIMAL,1600.0732764313293,1598.5432383878485,0.0009562299839750103,3.5037574768066406,25.0
IEEE118_P_1.0_10,10,11,5,1,OPTIMAL,1614.690843144918,1614.2521892505733,0.0002716643227445093,4.519571304321289,10.0
IEEE118_P_1.0_10,15,11,5,1,OPTIMAL,1606.4063924250033,1605.0968137362995,0.0008152225332762189,70.47718811035156,15.0
IEEE118_P_1.0_10,20,11,5,1,OPTIMAL,1605.8439932003225,1605.826447072244,1.0926421341543217e-5,6.852180480957031,20.0
IEEE118_P_1.0_10,25,11,5,1,OPTIMAL,1606.0711624797368,1605.0968137362224,0.0006066659848434185,12.112401962280273,25.0
IEEE118_P_1.0_11,10,11,5,1,OPTIMAL,1483.1108520067737,1482.7493066033014,0.00024377503743775472,1.4112567901611328,10.0
IEEE118_P_1.0_11,15,11,5,1,OPTIMAL,1483.129210581467,1482.749306603304,0.0002561502905159648,1.713552474975586,15.0
IEEE118_P_1.0_11,20,11,5,1,OPTIMAL,1482.8309411664259,1482.749306603305,5.505318297215974e-5,4.268835067749023,20.0
IEEE118_P_1.0_11,25,11,5,1,OPTIMAL,1482.8848344935195,1482.7493066033064,9.139475100194634e-5,2.8165760040283203,25.0
IEEE118_P_1.0_12,10,11,5,1,OPTIMAL,1457.3762201369318,1456.8182933766896,0.00038282960331947213,1.9060516357421875,10.0
IEEE118_P_1.0_12,15,11,5,1,OPTIMAL,1456.9091655235493,1456.8182933766889,6.237324124991995e-5,3.384693145751953,15.0
IEEE118_P_1.0_12,20,11,5,1,OPTIMAL,1456.9442356378577,1456.8182933767089,8.644274644709055e-5,7.822284698486328,20.0
IEEE118_P_1.0_12,25,11,5,1,OPTIMAL,1457.8532664371933,1456.8182933767202,0.0007099295136899222,2.2056102752685547,25.0
IEEE118_P_1.0_13,10,11,5,1,OPTIMAL,1493.0335600196752,1491.7384709206617,0.0008674212915859708,12.841485977172852,10.0
IEEE118_P_1.0_13,15,11,5,1,TIME_LIMIT,1492.8730203287996,1484.9289153118282,0.005321353463285026,600.0246334075928,15.000000000020037
IEEE118_P_1.0_13,20,11,5,1,TIME_LIMIT,1492.5896878651477,1484.9289153118398,0.005132537505511705,600.0187759399414,19.999999721231603
IEEE118_P_1.0_13,25,11,5,1,OPTIMAL,1489.8036212531488,1489.141565926645,0.0004443910036592235,18.618778228759766,25.0
IEEE118_P_1.0_14,10,11,5,1,OPTIMAL,1645.4240685460986,1643.788030879212,0.0009942954513435132,127.08819198608398,10.0
IEEE118_P_1.0_14,15,11,5,1,TIME_LIMIT,1635.427269949967,1631.4550162789862,0.002428878216701307,600.0139274597168,14.999999175463103
IEEE118_P_1.0_14,20,11,5,1,OPTIMAL,1633.2733208700558,1632.6765845890354,0.0003653621677371958,5.808490753173828,20.0
IEEE118_P_1.0_14,25,11,5,1,OPTIMAL,1632.7165570123611,1631.4550162789872,0.0007726636493981642,5.022741317749023,25.0
IEEE118_P_1.0_15,10,11,5,1,OPTIMAL,1694.451848420525,1694.2687403963673,0.00010806327977298474,8.779285430908203,10.0
IEEE118_P_1.0_15,15,11,5,1,OPTIMAL,1688.4391739673401,1688.4342211543687,2.933367720768171e-6,251.18130493164062,15.0
IEEE118_P_1.0_15,20,11,5,1,OPTIMAL,1688.5738846045679,1687.0934143196864,0.000876757776712949,76.21906089782715,20.0
IEEE118_P_1.0_15,25,11,5,1,OPTIMAL,1688.3043414317244,1688.2672444435248,2.197292708979541e-5,5.355890274047852,25.0
IEEE118_P_1.0_16,10,11,5,1,OPTIMAL,1452.9553146522703,1451.8764620611696,0.0007425228981380684,84.4829273223877,10.0
IEEE118_P_1.0_16,15,11,5,1,OPTIMAL,1452.2478247346257,1451.8764620610289,0.000255715771972141,2.1056346893310547,15.0
IEEE118_P_1.0_16,20,11,5,1,OPTIMAL,1452.290549461818,1451.8764620610375,0.000285127105546473,11.91998291015625,20.0
IEEE118_P_1.0_16,25,11,5,1,OPTIMAL,1452.4331490397938,1451.8764620610427,0.0003832788993552358,3.3968372344970703,25.0
IEEE118_P_1.0_17,10,11,5,1,OPTIMAL,1741.9378076570615,1740.4337159195538,0.0008634589196560983,41.03686332702637,10.0
IEEE118_P_1.0_17,15,11,5,1,OPTIMAL,1734.1979306827864,1733.7213652104579,0.0002748045444506266,4.536190032958984,15.0
IEEE118_P_1.0_17,20,11,5,1,OPTIMAL,1734.3891469861978,1733.7213652104654,0.0003850241895787064,4.948202133178711,20.0
IEEE118_P_1.0_17,25,11,5,1,OPTIMAL,1734.2432658988605,1733.721365210614,0.00030093856987008737,64.52544784545898,25.0
IEEE118_P_1.0_18,10,11,5,1,OPTIMAL,1628.6435804875252,1627.296902261565,0.000826871049070837,17.057231903076172,10.0
IEEE118_P_1.0_18,15,11,5,1,TIME_LIMIT,1617.111477671323,1613.1053908996757,0.002477310208332754,600.0275344848633,15.0
IEEE118_P_1.0_18,20,11,5,1,OPTIMAL,1615.5476631065387,1613.9763042545321,0.0009726477824770758,319.5520133972168,20.0
IEEE118_P_1.0_18,25,11,5,1,OPTIMAL,1616.1023339972621,1615.077198794577,0.0006343256742594463,38.68986129760742,25.0
IEEE118_P_1.0_19,10,11,5,1,OPTIMAL,1601.5072285606989,1599.9818101507901,0.0009524892443224694,44.392784118652344,10.0
IEEE118_P_1.0_19,15,11,5,1,TIME_LIMIT,1589.2332423104676,1586.2654310463276,0.0018674485186487182,600.0207786560059,14.999998574116319
IEEE118_P_1.0_19,20,11,5,1,OPTIMAL,1587.006185709629,1586.2654310462278,0.00046676230380919906,22.751550674438477,20.0
IEEE118_P_1.0_19,25,11,5,1,OPTIMAL,1587.1052953920018,1587.0037929190564,6.3954466814593e-5,4.385746002197266,25.0
IEEE118_P_1.0_20,10,11,5,1,OPTIMAL,1464.0491000000052,1462.7491221216933,0.0008879332519052046,48.10283851623535,10.0
IEEE118_P_1.0_20,15,11,5,1,OPTIMAL,1458.7318484514608,1457.4536190395254,0.0008762607146010579,23.67237091064453,15.0
