data_instance,max_path,max_edge,time
IEEE118_P_0.95_21,23,3,37.201
IEEE118_P_0.95_21,23,5,36.245
IEEE118_P_0.95_21,23,7,36.975
IEEE118_P_0.95_22,23,3,27.35
IEEE118_P_0.95_22,23,5,28.004
IEEE118_P_0.95_22,23,7,28.467
IEEE118_P_0.95_23,23,3,27.357
IEEE118_P_0.95_23,23,5,29.877
IEEE118_P_0.95_23,23,7,28.522
IEEE118_P_0.95_24,23,3,35.117
IEEE118_P_0.95_24,23,5,35.03
IEEE118_P_0.95_24,23,7,35.42
IEEE118_P_0.95_25,23,3,27.418
IEEE118_P_0.95_25,23,5,27.571
IEEE118_P_0.95_25,23,7,28.503
IEEE118_P_0.95_26,23,3,27.976
IEEE118_P_0.95_26,23,5,28.606
IEEE118_P_0.95_26,23,7,28.943
IEEE118_P_0.95_27,23,3,26.328
IEEE118_P_0.95_27,23,5,27.183
IEEE118_P_0.95_27,23,7,28.278
IEEE118_P_0.95_28,23,3,36.706
IEEE118_P_0.95_28,23,5,35.005
IEEE118_P_0.95_28,23,7,35.165
IEEE118_P_0.95_29,23,3,35.444
IEEE118_P_0.95_29,23,5,35.398
IEEE118_P_0.95_29,23,7,36.519
IEEE118_P_0.95_30,23,3,27.718
IEEE118_P_0.95_30,23,5,28.259
IEEE118_P_0.95_30,23,7,28.764
IEEE118_P_0.95_31,23,3,37.001
IEEE118_P_0.95_31,23,5,37.564
IEEE118_P_0.95_31,23,7,37.502
IEEE118_P_0.95_32,23,3,27.362
IEEE118_P_0.95_32,23,5,27.858
IEEE118_P_0.95_32,23,7,27.336
IEEE118_P_0.95_33,23,3,28.76
IEEE118_P_0.95_33,23,5,29.426
IEEE118_P_0.95_33,23,7,28.887
IEEE118_P_0.95_34,23,3,35.495
IEEE118_P_0.95_34,23,5,34.76
IEEE118_P_0.95_34,23,7,36.029
IEEE118_P_0.95_35,23,3,26.951
IEEE118_P_0.95_35,23,5,27.096
IEEE118_P_0.95_35,23,7,27.847
IEEE118_P_0.95_36,23,3,37.181
IEEE118_P_0.95_36,23,5,36.486
IEEE118_P_0.95_36,23,7,36.204
IEEE118_P_0.95_37,23,3,36.295
IEEE118_P_0.95_37,23,5,34.992
IEEE118_P_0.95_37,23,7,35.066
IEEE118_P_0.95_38,23,3,30.579
IEEE118_P_0.95_38,23,5,30.146
