data_instance,max_path,max_edge,time
IEEE118_P_1.0_1,25,3,51.141
IEEE118_P_1.0_1,25,5,40.699
IEEE118_P_1.0_1,25,7,39.767
IEEE118_P_1.0_2,25,3,46.175
IEEE118_P_1.0_2,25,5,40.329
IEEE118_P_1.0_2,25,7,40.367
IEEE118_P_1.0_3,25,3,55.893
IEEE118_P_1.0_3,25,5,42.904
IEEE118_P_1.0_3,25,7,42.713
IEEE118_P_1.0_4,25,3,59.912
IEEE118_P_1.0_4,25,5,52.506
IEEE118_P_1.0_4,25,7,53.798
IEEE118_P_1.0_5,25,3,40.912
IEEE118_P_1.0_5,25,5,39.21
IEEE118_P_1.0_5,25,7,39.182
IEEE118_P_1.0_6,25,3,47.575
IEEE118_P_1.0_6,25,5,42.691
IEEE118_P_1.0_6,25,7,42.712
IEEE118_P_1.0_7,25,3,45.915
IEEE118_P_1.0_7,25,5,43.857
IEEE118_P_1.0_7,25,7,43.994
IEEE118_P_1.0_8,25,3,47.602
IEEE118_P_1.0_8,25,5,38.435
IEEE118_P_1.0_8,25,7,38.736
IEEE118_P_1.0_9,25,3,43.43
IEEE118_P_1.0_9,25,5,38.813
IEEE118_P_1.0_9,25,7,38.986
IEEE118_P_1.0_10,25,3,46.684
IEEE118_P_1.0_10,25,5,38.969
IEEE118_P_1.0_10,25,7,38.351
IEEE118_P_1.0_11,25,3,43.474
IEEE118_P_1.0_11,25,5,40.164
IEEE118_P_1.0_11,25,7,40.008
IEEE118_P_1.0_12,25,3,41.155
IEEE118_P_1.0_12,25,5,38.399
IEEE118_P_1.0_12,25,7,38.698
IEEE118_P_1.0_13,25,3,44.598
IEEE118_P_1.0_13,25,5,40.58
IEEE118_P_1.0_13,25,7,40.745
IEEE118_P_1.0_14,25,3,43.39
IEEE118_P_1.0_14,25,5,38.501
IEEE118_P_1.0_14,25,7,41.555
IEEE118_P_1.0_15,25,3,51.49
IEEE118_P_1.0_15,25,5,43.71
IEEE118_P_1.0_15,25,7,46.611
IEEE118_P_1.0_16,25,3,42.73
IEEE118_P_1.0_16,25,5,39.6
IEEE118_P_1.0_16,25,7,39.852
IEEE118_P_1.0_17,25,3,58.261
IEEE118_P_1.0_17,25,5,51.158
IEEE118_P_1.0_17,25,7,52.361
IEEE118_P_1.0_18,25,3,43.253
IEEE118_P_1.0_18,25,5,38.537
IEEE118_P_1.0_18,25,7,38.378
IEEE118_P_1.0_19,25,3,44.34
IEEE118_P_1.0_19,25,5,41.298
IEEE118_P_1.0_19,25,7,42.912
IEEE118_P_1.0_20,25,3,45.47
IEEE118_P_1.0_20,25,5,42.003
IEEE118_P_1.0_20,25,7,42.757
