data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_1.0_1,45,15,5,5,OPTIMAL,39171.73053813215,39155.51951079358,0.00041384506417935484,41.62044143676758,44.0
IEEE300_P_1.0_2,45,15,5,5,TIME_LIMIT,41299.43632258692,41249.48105735435,0.001209587095629311,600.0439491271973,45.00000000001114
IEEE300_P_1.0_3,45,15,5,5,OPTIMAL,40707.07220793767,40689.87083054637,0.00042256483844948226,36.57259750366211,45.0
IEEE300_P_1.0_4,45,15,5,5,OPTIMAL,41688.75523559662,41678.15010732321,0.00025438822083985316,65.79186630249023,45.0
IEEE300_P_1.0_5,45,15,5,5,OPTIMAL,42213.02148269734,42172.48608488084,0.0009602581476693242,51.89896011352539,45.0
IEEE300_P_1.0_6,45,15,5,5,OPTIMAL,42210.24327775842,42178.04377920902,0.0007628361281291515,149.96791648864746,45.0
IEEE300_P_1.0_7,45,15,5,5,OPTIMAL,42550.239257837566,42523.46071259517,0.0006293394751584104,23.585405349731445,45.0
IEEE300_P_1.0_8,45,15,5,5,OPTIMAL,39791.157339145495,39754.50670136172,0.0009210749381173771,68.97438430786133,41.0
IEEE300_P_1.0_9,45,15,5,5,OPTIMAL,42551.433997120505,42546.762064118404,0.00010979496019844391,68.62365531921387,45.0
IEEE300_P_1.0_10,45,15,5,5,TIME_LIMIT,41395.405637803444,41337.88109670761,0.0013896358837295092,600.0828590393066,42.99999192932091
IEEE300_P_1.0_11,45,15,5,5,OPTIMAL,40507.210991169064,40505.60862076396,3.955765815260257e-5,116.06698608398438,44.0
IEEE300_P_1.0_12,45,15,5,5,OPTIMAL,42127.00547224468,42109.09327615412,0.00042519509492225274,55.293474197387695,44.0
IEEE300_P_1.0_13,45,15,5,5,OPTIMAL,39409.89449879011,39384.1173345751,0.0006540784882284412,35.3082218170166,44.0
IEEE300_P_1.0_14,45,15,5,5,OPTIMAL,40296.055571777986,40279.14095792048,0.00041975854999950026,41.469369888305664,44.0
IEEE300_P_1.0_15,45,15,5,5,OPTIMAL,41730.92893427038,41715.79885536355,0.0003625627153102078,56.354360580444336,44.0
IEEE300_P_1.0_16,45,15,5,5,OPTIMAL,40563.84454125901,40535.83470887582,0.00069051227022384,55.335514068603516,43.0
IEEE300_P_1.0_17,45,15,5,5,OPTIMAL,39970.182558966975,39967.57516132356,6.523356853739834e-5,42.55421257019043,45.0
IEEE300_P_1.0_18,45,15,5,5,OPTIMAL,39236.89029186336,39233.35184630441,9.018160034169961e-5,56.602996826171875,45.0
IEEE300_P_1.0_19,45,15,5,5,OPTIMAL,40047.99113741578,40040.01225512566,0.00019923302176997696,62.25168228149414,45.0
IEEE300_P_1.0_20,45,15,5,5,OPTIMAL,40499.617508197625,40467.059162300546,0.0008039173676267276,55.87533378601074,44.0
IEEE300_P_1.0_1,45,15,7,5,OPTIMAL,39189.707273899665,39155.51951079359,0.0008723658706388693,22.020448684692383,45.0
IEEE300_P_1.0_2,45,15,7,5,OPTIMAL,41302.081037129436,41289.54651467862,0.00030348404090207006,66.78805160522461,45.0
IEEE300_P_1.0_3,45,15,7,5,OPTIMAL,40697.678600195824,40689.87083054636,0.00019184803453207422,15.95994758605957,45.0
IEEE300_P_1.0_4,45,15,7,5,OPTIMAL,41716.44431501827,41683.63868715562,0.0007863955905475705,10.778024673461914,45.0
IEEE300_P_1.0_5,45,15,7,5,OPTIMAL,42204.07109036412,42195.12838681978,0.00021189196476322582,46.624820709228516,44.0
IEEE300_P_1.0_6,45,15,7,5,OPTIMAL,42205.41826398067,42199.805577067156,0.00013298498497055426,66.67337226867676,45.0
IEEE300_P_1.0_7,45,15,7,5,OPTIMAL,42550.68191272373,42531.603967234216,0.0004483581609490407,27.962154388427734,45.0
IEEE300_P_1.0_8,45,15,7,5,OPTIMAL,39799.89383211058,39762.469857073906,0.0009403033886106072,66.67121505737305,45.0
IEEE300_P_1.0_9,45,15,7,5,OPTIMAL,42581.6986083869,42546.76206411926,0.0008204591505129441,48.81181335449219,45.0
IEEE300_P_1.0_10,45,15,7,5,OPTIMAL,41395.39030940515,41356.37642968145,0.000942469183938032,132.68928718566895,45.0
IEEE300_P_1.0_11,45,15,7,5,OPTIMAL,40528.768816812815,40503.25001623084,0.000629646577652431,37.89896774291992,45.0
IEEE300_P_1.0_12,45,15,7,5,OPTIMAL,42121.336237201096,42116.374303583594,0.00011780095459363899,45.15304946899414,45.0
IEEE300_P_1.0_13,45,15,7,5,OPTIMAL,39404.5020288713,39384.117334574854,0.0005173189165417946,58.133575439453125,45.0
IEEE300_P_1.0_14,45,15,7,5,OPTIMAL,40314.20829469309,40279.140957920434,0.0008698505627672727,24.19133186340332,45.0
IEEE300_P_1.0_15,45,15,7,5,OPTIMAL,41737.50178951553,41715.79885536364,0.0005199864203982016,58.686275482177734,45.0
IEEE300_P_1.0_16,45,15,7,5,OPTIMAL,40550.21722684484,40535.83470887598,0.0003546841164476738,41.36505699157715,44.0
IEEE300_P_1.0_17,45,15,7,5,OPTIMAL,39979.20327345141,39959.660098885855,0.0004888335175636003,25.653738021850586,43.0
IEEE300_P_1.0_18,45,15,7,5,OPTIMAL,39246.8148892834,39233.35184630437,0.0003430353015144413,29.015485763549805,45.0
IEEE300_P_1.0_19,45,15,7,5,OPTIMAL,40043.33984324087,40040.01225512585,8.30996647145905e-5,58.23510551452637,45.0
IEEE300_P_1.0_20,45,15,7,5,OPTIMAL,40498.23563344787,40467.05916230049,0.0007698229480800323,42.432817459106445,45.0
IEEE300_P_1.0_1,45,15,9,5,OPTIMAL,39170.47713199954,39155.51951079353,0.00038185956110791194,87.34927558898926,45.0
IEEE300_P_1.0_2,45,15,9,5,OPTIMAL,41300.447316243604,41259.35644889293,0.0009949254795240403,222.65990447998047,45.0
IEEE300_P_1.0_3,45,15,9,5,OPTIMAL,40698.41932882671,40668.33799224839,0.0007391278844340401,64.07566833496094,45.0
IEEE300_P_1.0_4,45,15,9,5,OPTIMAL,41693.66753263354,41684.10209835942,0.00022942175251508678,38.9039421081543,45.0
IEEE300_P_1.0_5,45,15,9,5,TIME_LIMIT,42222.036891764554,42172.48608488079,0.001173576893288896,600.0274982452393,44.0
IEEE300_P_1.0_6,45,15,9,5,OPTIMAL,42200.68646893602,42178.043779208965,0.0005365479005590324,55.97601509094238,45.0
IEEE300_P_1.0_7,45,15,9,5,OPTIMAL,42536.296854295375,42523.460712595166,0.0003017691395228406,57.62546920776367,45.0
IEEE300_P_1.0_8,45,15,9,5,OPTIMAL,39799.89383211058,39762.469857073906,0.0009403033886106072,67.34084129333496,45.0
IEEE300_P_1.0_9,45,15,9,5,OPTIMAL,42576.354103270685,42546.76206411907,0.0006950345978388678,10.627668380737305,45.0
IEEE300_P_1.0_10,45,15,9,5,OPTIMAL,41395.39030940515,41356.37642968145,0.000942469183938032,133.6906509399414,45.0
IEEE300_P_1.0_11,45,15,9,5,OPTIMAL,40509.4350784162,40505.60862076389,9.445843036090737e-5,65.21399688720703,44.0
IEEE300_P_1.0_12,45,15,9,5,OPTIMAL,42123.752677373566,42109.09327615397,0.00034800795959157304,46.35420608520508,45.0
IEEE300_P_1.0_13,45,15,9,5,OPTIMAL,39404.01206096692,39376.084184069325,0.0007087571908764533,22.333072662353516,43.0
IEEE300_P_1.0_14,45,15,9,5,OPTIMAL,40291.28092215629,40279.14095792062,0.00030130499596487753,19.6796932220459,41.0
IEEE300_P_1.0_15,45,15,9,5,OPTIMAL,41733.12888005437,41696.205287788296,0.0008847549478544054,76.08510398864746,45.0
IEEE300_P_1.0_16,45,15,9,5,OPTIMAL,40550.21722684484,40535.83470887598,0.0003546841164476738,41.120553970336914,44.0
IEEE300_P_1.0_17,45,15,9,5,OPTIMAL,39985.17417169494,39959.66009888587,0.0006380883249254716,30.852800369262695,45.0
IEEE300_P_1.0_18,45,15,9,5,OPTIMAL,39246.8148892834,39233.35184630437,0.0003430353015144413,29.02747917175293,45.0
IEEE300_P_1.0_19,45,15,9,5,OPTIMAL,40048.72538362607,40040.0122551257,0.00021756319126033964,49.11393165588379,45.0
IEEE300_P_1.0_20,45,15,9,5,OPTIMAL,40498.23563344787,40467.05916230049,0.0007698229480800323,44.44582557678223,45.0
IEEE300_P_1.0_1,45,20,5,5,OPTIMAL,39168.61392397523,39167.89762768128,1.8287506811900047e-5,94.60876083374023,44.0
IEEE300_P_1.0_2,45,20,5,5,TIME_LIMIT,41299.14828156348,41249.48105735441,0.0012026210291422369,600.0306453704834,44.9999954771983
IEEE300_P_1.0_3,45,20,5,5,OPTIMAL,40693.3260503768,40689.87083054619,8.490875939544641e-5,175.31250762939453,45.0
IEEE300_P_1.0_4,45,20,5,5,OPTIMAL,41685.6036841796,41684.10209835948,3.6021688242748186e-5,18.999269485473633,45.0
IEEE300_P_1.0_5,45,20,5,5,TIME_LIMIT,42218.5935704921,42172.486084880926,0.0010921132541800158,600.0534114837646,44.99999760433042
IEEE300_P_1.0_6,45,20,5,5,OPTIMAL,42217.4462116496,42180.31627149433,0.0008794928042099831,127.4983959197998,43.0
IEEE300_P_1.0_7,45,20,5,5,OPTIMAL,42538.644323060995,42531.603967234114,0.00016550494118742126,20.7464542388916,45.0
IEEE300_P_1.0_8,45,20,5,5,OPTIMAL,39799.391107965224,39787.25273185481,0.00030498899034628595,80.56331443786621,45.0
IEEE300_P_1.0_9,45,20,5,5,OPTIMAL,42558.32234064253,42548.41806889119,0.0002327223256609786,12.416704177856445,45.0
IEEE300_P_1.0_10,45,20,5,5,OPTIMAL,41408.24344717868,41394.71382242699,0.00032673747122231053,38.2927360534668,42.0
IEEE300_P_1.0_11,45,20,5,5,OPTIMAL,40508.552670015924,40503.250016231694,0.0001309020795540696,45.73716735839844,37.0
IEEE300_P_1.0_12,45,20,5,5,OPTIMAL,42120.1915467622,42116.37430358316,9.062739362916992e-5,48.02513313293457,44.0
IEEE300_P_1.0_13,45,20,5,5,OPTIMAL,39423.374417190505,39384.11733457574,0.0009957818983056391,16.922653198242188,45.0
IEEE300_P_1.0_14,45,20,5,5,OPTIMAL,40288.00191161892,40279.14095792049,0.0002199402620628362,40.71113204956055,45.0
IEEE300_P_1.0_15,45,20,5,5,OPTIMAL,41741.10150292528,41715.79885536362,0.0006061806385222272,34.56878471374512,45.0
