data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_100_1,10,TIME_LIMIT,40662.68513,37849.31556,0.069187993,600.0214424,10
IEEE300_P_100_1,15,TIME_LIMIT,39350.97056,37817.14022,0.038978209,600.0313358,15
IEEE300_P_100_1,20,OPTIMAL,39176.78789,39155.51951,0.000542882,409.9096851,20
IEEE300_P_100_1,25,OPTIMAL,39188.83427,39155.51951,0.000850109,124.6696835,25
IEEE300_P_100_2,10,TIME_LIMIT,42525.08485,38410.54679,0.096755552,600.0372143,10
IEEE300_P_100_2,15,TIME_LIMIT,41879.03749,38140.0411,0.089280858,600.0389462,15
IEEE300_P_100_2,20,TIME_LIMIT,41306.10833,41249.48106,0.001370918,600.034565,20
IEEE300_P_100_2,25,TIME_LIMIT,41300.33406,41249.48106,0.001231297,600.0449467,25
IEEE300_P_100_3,10,TIME_LIMIT,41846.88288,38489.98078,0.080218689,600.0213718,10
IEEE300_P_100_3,15,TIME_LIMIT,40778.04923,38405.62731,0.058178897,600.0388165,15
IEEE300_P_100_3,20,OPTIMAL,40708.21994,40689.87083,0.000450747,132.0820141,20
IEEE300_P_100_3,25,OPTIMAL,40719.37219,40689.87083,0.000724504,290.4626045,25
IEEE300_P_100_4,10,TIME_LIMIT,42746.24215,41844.09312,0.021104757,600.0268269,10
IEEE300_P_100_4,15,TIME_LIMIT,41937.27772,41683.63869,0.006048057,600.0093174,15
IEEE300_P_100_4,20,TIME_LIMIT,42027.9354,38816.12706,0.076420798,600.0221291,20
IEEE300_P_100_4,25,OPTIMAL,41695.61278,41683.63869,0.000287179,570.1925468,23
IEEE300_P_100_5,10,TIME_LIMIT,43110.84005,42376.37158,0.017036747,600.0231457,10
IEEE300_P_100_5,15,TIME_LIMIT,42342.02152,42168.79092,0.004091222,600.036808,15
IEEE300_P_100_5,20,TIME_LIMIT,42263.32289,42168.79092,0.002236738,600.0419979,20
IEEE300_P_100_5,25,OPTIMAL,42205.99468,42168.79092,0.000881481,410.2862263,25
IEEE300_P_100_6,10,TIME_LIMIT,43927.52736,40165.75914,0.085635783,600.0398674,10
IEEE300_P_100_6,15,TIME_LIMIT,42486.58033,42088.01446,0.009380983,600.0415554,15
IEEE300_P_100_6,20,TIME_LIMIT,42228.87892,42088.01446,0.003335738,600.0304146,20
IEEE300_P_100_6,25,TIME_LIMIT,42202.59317,42088.01446,0.002714968,600.0027905,25
IEEE300_P_100_7,10,TIME_LIMIT,43776.99784,42704.35264,0.024502484,600.0438957,10
IEEE300_P_100_7,15,TIME_LIMIT,42723.64646,42523.46071,0.004685596,600.0402699,15
IEEE300_P_100_7,20,OPTIMAL,42541.49756,42523.46071,0.000423982,161.7934456,20
IEEE300_P_100_7,25,TIME_LIMIT,42583.22166,42523.46071,0.001403392,600.0361118,25
IEEE300_P_100_8,10,TIME_LIMIT,40912.96832,40130.31349,0.019129749,600.0279312,10
IEEE300_P_100_8,15,TIME_LIMIT,40106.97938,39616.79967,0.012221806,600.0283661,15
IEEE300_P_100_8,20,TIME_LIMIT,39813.03872,39749.94997,0.001584625,600.0363083,20
IEEE300_P_100_8,25,TIME_LIMIT,39809.14543,39616.79967,0.004831698,600.0392628,25
IEEE300_P_100_9,10,TIME_LIMIT,43777.4163,41569.1806,0.050442349,600.0294685,10
IEEE300_P_100_9,15,TIME_LIMIT,42645.40064,42546.76206,0.002312994,600.044014,15
IEEE300_P_100_9,20,OPTIMAL,42581.41474,42546.76206,0.000813798,202.5282269,20
IEEE300_P_100_9,25,OPTIMAL,42578.54342,42546.76206,0.000746417,334.119339,25
IEEE300_P_100_10,10,TIME_LIMIT,42316.18532,41542.23833,0.018289621,600.0254402,10
IEEE300_P_100_10,15,TIME_LIMIT,41603.68467,41337.8811,0.006388943,600.0179901,15
IEEE300_P_100_10,20,TIME_LIMIT,41473.49027,41337.8811,0.00326978,600.0287304,20
IEEE300_P_100_10,25,TIME_LIMIT,41399.21164,41337.8811,0.001481442,600.0190468,25
IEEE300_P_100_11,10,TIME_LIMIT,41913.77672,38389.91629,0.084074037,600.0171757,10
IEEE300_P_100_11,15,TIME_LIMIT,40580.50416,40503.25002,0.001903725,600.0233974,15
IEEE300_P_100_11,20,TIME_LIMIT,40543.01339,37989.96718,0.062971299,600.023037,20
IEEE300_P_100_11,25,OPTIMAL,40534.98183,40503.25002,0.000782825,80.34440613,25
IEEE300_P_100_12,10,TIME_LIMIT,45113.83579,40804.24105,0.095527118,600.0245266,10
IEEE300_P_100_12,15,TIME_LIMIT,42266.65185,41642.43285,0.014768593,600.0310993,15
IEEE300_P_100_12,20,OPTIMAL,42151.6975,42116.3743,0.000838002,240.9415627,20
IEEE300_P_100_12,25,OPTIMAL,42148.40908,42109.09328,0.000932795,412.9351521,25
IEEE300_P_100_13,10,TIME_LIMIT,40638.85398,38551.32725,0.051367756,600.0187378,10
IEEE300_P_100_13,15,TIME_LIMIT,39523.77918,39384.11733,0.003533616,600.0377235,15
IEEE300_P_100_13,20,TIME_LIMIT,39402.54419,37972.25592,0.036299389,600.0328808,20
IEEE300_P_100_13,25,TIME_LIMIT,39389.96933,38595.22949,0.020176199,600.0194206,25
IEEE300_P_100_14,10,TIME_LIMIT,41567.62694,39933.37246,0.039315559,600.0276299,10
IEEE300_P_100_14,15,TIME_LIMIT,40345.64914,40279.14096,0.00164846,600.0626431,15
IEEE300_P_100_14,20,OPTIMAL,40319.05048,40279.14096,0.000989843,509.0673504,17
IEEE300_P_100_14,25,OPTIMAL,40308.89857,40279.14096,0.000738239,146.6696339,25
