data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_95_1,45,OPTIMAL,31937.34570082073,31909.563612171776,0.0008698934754693642,26.59095001220703,45.0
IEEE300_P_95_2,45,OPTIMAL,32785.116016927175,32779.900974530574,0.0001590673766079945,29.394367218017578,45.0
IEEE300_P_95_3,45,OPTIMAL,31527.565291461946,31498.762493931612,0.0009135750656310296,27.419235229492188,45.0
IEEE300_P_95_4,45,OPTIMAL,31027.659913400443,31019.000920531176,0.00027907334595757917,12.247591018676758,45.0
IEEE300_P_95_5,45,OPTIMAL,30926.013744323925,30923.01064794251,9.710583479153245e-5,19.781972885131836,45.0
IEEE300_P_95_6,45,OPTIMAL,31129.567902425315,31098.45232615126,0.0009995505357346171,19.744638442993164,45.0
IEEE300_P_95_7,45,OPTIMAL,32182.485581383684,32178.435375184792,0.00012585125498307424,17.812721252441406,45.0
IEEE300_P_95_8,45,OPTIMAL,31682.2257566044,31661.272811099276,0.0006613470172863582,12.781980514526367,45.0
IEEE300_P_95_9,45,OPTIMAL,31412.095420860085,31388.837359564837,0.0007404173769255371,15.881860733032227,45.0
IEEE300_P_95_10,45,OPTIMAL,31298.905038827805,31292.1668848644,0.00021528401568825885,14.382125854492188,41.000005849400225
IEEE300_P_95_11,45,OPTIMAL,31617.808957798323,31608.601918175493,0.0002911979016357235,14.784988403320312,45.0
IEEE300_P_95_12,45,OPTIMAL,32250.278932146222,32222.75539397975,0.0008534356625063736,9.627838134765625,43.0
IEEE300_P_95_13,45,OPTIMAL,31532.976663372876,31520.59553994512,0.00039264049061811805,37.36550521850586,45.0
IEEE300_P_95_14,45,OPTIMAL,31793.36434413478,31764.23648856063,0.0009161614750445684,8.143634796142578,44.0
IEEE300_P_95_15,45,OPTIMAL,30763.333595005548,30748.98904103951,0.00046628737167702956,52.55302619934082,45.0
IEEE300_P_95_16,45,OPTIMAL,30949.98005979372,30920.41069305496,0.0009553921095145776,13.139965057373047,45.0
IEEE300_P_95_17,45,OPTIMAL,30828.187484249152,30828.187484249152,0.0,47.43863105773926,45.0
IEEE300_P_95_18,45,OPTIMAL,31553.34456157084,31552.99379148845,1.1116732228045124e-5,23.38103675842285,45.0
IEEE300_P_95_19,45,OPTIMAL,31725.729396762654,31725.725328485132,1.2823274985122705e-7,37.634084701538086,43.0
IEEE300_P_95_20,45,OPTIMAL,31229.7242305715,31201.899025673578,0.0008909846495117053,35.76993370056152,43.0
IEEE300_P_100_1,45,OPTIMAL,39170.26685377057,39155.51951079376,0.0003764932986507694,42.19567108154297,42.0
IEEE300_P_100_2,45,TIME_LIMIT,41299.12937073863,41249.48105735428,0.0012021636809498287,600.033016204834,41.99999999319931
IEEE300_P_100_3,45,OPTIMAL,40697.629436348565,40689.87083054623,0.0001906402389965155,65.75792503356934,41.0
IEEE300_P_100_4,45,OPTIMAL,41687.823838057084,41684.10209835952,8.92764206646722e-5,120.37031745910645,45.0
IEEE300_P_100_5,45,OPTIMAL,42213.00452281635,42172.48608488076,0.0009598567643696611,70.87692451477051,42.0
IEEE300_P_100_6,45,TIME_LIMIT,42200.71781514109,42088.01446462275,0.0026706500825894974,600.0419940948486,44.0
IEEE300_P_100_7,45,OPTIMAL,42535.19371540535,42523.460712595115,0.0002758422328752083,37.65206718444824,43.0
IEEE300_P_100_8,45,OPTIMAL,39800.361872194575,39762.46985707278,0.0009520520251417455,92.24188041687012,45.0
IEEE300_P_100_9,45,OPTIMAL,42580.52437975417,42546.762064119175,0.0007929051162894465,42.62384033203125,41.0
IEEE300_P_100_10,45,TIME_LIMIT,41395.221391422616,41337.88109670733,0.0013851911594599566,600.0457000732422,45.0
IEEE300_P_100_11,45,OPTIMAL,40534.925233650094,40503.25001623059,0.000781430266293202,50.992727279663086,45.0
IEEE300_P_100_12,45,OPTIMAL,42128.64596130732,42116.37430358328,0.000291290105438141,77.48232460021973,45.0
IEEE300_P_100_13,45,OPTIMAL,39386.77725482768,39384.63673961046,5.434603606603062e-5,83.95911407470703,45.0
IEEE300_P_100_14,45,OPTIMAL,40290.66183491037,40255.60341501469,0.000870137602587151,49.6812801361084,45.0
IEEE300_P_100_15,45,OPTIMAL,41741.13348994672,41715.798855363566,0.0006069464929421279,83.35297203063965,41.0
IEEE300_P_100_16,45,OPTIMAL,40564.83996987919,40535.834708875744,0.0007150345231235881,61.20418739318848,45.0
IEEE300_P_100_17,45,OPTIMAL,39987.857379444395,39959.66009888594,0.0007051460719910089,74.25664710998535,45.0
IEEE300_P_100_18,45,TIME_LIMIT,39233.40014254814,39189.79218801687,0.0011115007716085118,600.047441482544,45.000000000005684
IEEE300_P_100_19,45,TIME_LIMIT,40042.843795911416,39967.85670150729,0.0018726715511594488,600.0506801605225,45.0
IEEE300_P_100_20,45,OPTIMAL,40497.1852259394,40460.551123566736,0.0009046086084323365,135.13139152526855,42.0
IEEE300_P_105_1,45,OPTIMAL,50199.2664855731,50151.292201294586,0.0009556769976370093,73.81367492675781,44.0
IEEE300_P_105_2,45,OPTIMAL,51671.94940576106,51633.00688934786,0.0007536490660995913,73.44966125488281,45.0
IEEE300_P_105_3,45,OPTIMAL,51948.6823061454,51897.52021080583,0.0009848583846277133,50.86607551574707,44.0
IEEE300_P_105_4,45,OPTIMAL,52004.07626965498,51984.66725015671,0.00037322111823753974,97.93979835510254,45.0
IEEE300_P_105_5,45,OPTIMAL,49640.63077823268,49599.8948697337,0.0008206162544744073,59.24318885803223,45.0
IEEE300_P_105_6,45,OPTIMAL,50888.91960556618,50838.157605249304,0.0009975059543477786,29.675636291503906,37.0
IEEE300_P_105_7,45,OPTIMAL,50848.21397197012,50841.60858608424,0.00012990399012875273,75.51744079589844,45.0
IEEE300_P_105_8,45,OPTIMAL,51386.213796320764,51374.318088982225,0.00023149608542263913,74.1799259185791,45.0
IEEE300_P_105_9,45,OPTIMAL,51247.51722287754,51242.61634781971,9.563146320854073e-5,19.90542984008789,45.0
IEEE300_P_105_10,45,OPTIMAL,50898.82057851216,50850.687268608985,0.0009456665077126875,42.1928596496582,45.0
IEEE300_P_105_11,45,OPTIMAL,51623.91985585845,51594.35125108005,0.0005727694615394652,111.64201545715332,45.0
IEEE300_P_105_12,45,OPTIMAL,53963.63013903376,53958.040417756965,0.00010358312186178631,272.13504219055176,44.0
IEEE300_P_105_13,45,OPTIMAL,52340.13808274556,52289.99196752029,0.0009580814469000799,80.57781028747559,45.0
IEEE300_P_105_14,45,OPTIMAL,51852.89341199692,51839.27966194466,0.0002625456200503994,111.9079418182373,45.0
IEEE300_P_105_15,45,OPTIMAL,51304.60247562408,51270.26042939657,0.0006693755446955563,46.55340766906738,45.0
IEEE300_P_105_16,45,OPTIMAL,52380.149712874074,52367.887434688295,0.00023410162538663296,83.04280853271484,45.0
IEEE300_P_105_17,45,OPTIMAL,51977.80248408098,51942.646418049175,0.0006763669172542163,50.895036697387695,45.0
IEEE300_P_105_18,45,OPTIMAL,52909.74400588551,52857.20151616966,0.0009930588533939454,146.56335067749023,45.0
IEEE300_P_105_19,45,OPTIMAL,48944.28902482073,48930.39919595134,0.00028378855114950097,63.64788055419922,45.0
IEEE300_P_105_20,45,OPTIMAL,51507.78136371282,51459.43392558559,0.0009386433825568042,35.44721794128418,45.0
