data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_1.0_1,10,15,7,5,OPTIMAL,40499.90496008791,40499.90496008791,0.0,1301.3298301696777,10.0
IEEE300_P_1.0_1,15,15,7,5,TIME_LIMIT,39308.16840244944,39155.5195108006,0.0038833885640758006,3600.069833755493,15.0
IEEE300_P_1.0_1,20,15,7,5,OPTIMAL,39170.484763897184,39167.897627681334,6.604810309202506e-5,1210.6617164611816,20.0
IEEE300_P_1.0_1,25,15,7,5,OPTIMAL,39170.06401568406,39166.69498966041,8.60102251121718e-5,2422.7339210510254,25.0
IEEE300_P_1.0_2,10,15,7,5,OPTIMAL,42221.692432525466,42218.255960393115,8.139115071814637e-5,1040.555627822876,10.0
IEEE300_P_1.0_2,15,15,7,5,TIME_LIMIT,41419.18710387577,41249.481057392215,0.004097280954788997,3600.091938018799,15.0
IEEE300_P_1.0_2,20,15,7,5,TIME_LIMIT,41300.31174946681,41249.4810573544,0.0012307580732260617,3600.110284805298,19.999998577265387
IEEE300_P_1.0_2,25,15,7,5,OPTIMAL,41302.86265356577,41299.12937073876,9.038799219128512e-5,222.92289352416992,24.0
IEEE300_P_1.0_3,10,15,7,5,OPTIMAL,41752.772537709156,41752.772537709156,0.0,1185.587989807129,10.0
IEEE300_P_1.0_3,15,15,7,5,TIME_LIMIT,40736.33957071239,40689.87083055044,0.0011407195799045505,3600.0579471588135,15.0
IEEE300_P_1.0_3,20,15,7,5,OPTIMAL,40692.77283881788,40689.870830546184,7.131507806535621e-5,78.57132148742676,20.0
IEEE300_P_1.0_3,25,15,7,5,OPTIMAL,40691.5422486273,40689.87083054635,4.107531906109488e-5,61.57306671142578,25.0
IEEE300_P_1.0_4,10,15,7,5,LOCALLY_SOLVED,42746.24215202681,42090.81096877769,0.01533307140585795,2026.992000579834,10.0
IEEE300_P_1.0_4,15,15,7,5,TIME_LIMIT,41907.05566349858,41683.63868716181,0.005331249661888471,3600.0798377990723,15.0
IEEE300_P_1.0_4,20,15,7,5,OPTIMAL,41686.19314512273,41683.63868715622,6.127827402263864e-5,449.2926330566406,20.0
IEEE300_P_1.0_4,25,15,7,5,OPTIMAL,41687.35804343732,41683.63868715557,8.922024460923727e-5,276.0026378631592,25.0
IEEE300_P_1.0_5,10,15,7,5,OPTIMAL,43110.84005442957,43110.84005442957,0.0,1216.069227218628,10.0
IEEE300_P_1.0_5,15,15,7,5,TIME_LIMIT,42279.762480896985,42184.37526454372,0.002256096315497594,3600.062707901001,15.0
IEEE300_P_1.0_5,20,15,7,5,OPTIMAL,42198.278426867604,42195.128386819626,7.464854409729857e-5,154.20049285888672,20.0
IEEE300_P_1.0_5,25,15,7,5,TIME_LIMIT,42224.23391384458,42172.48608488169,0.001225548083796621,3600.1045932769775,25.0
IEEE300_P_1.0_6,10,15,7,5,OPTIMAL,43179.69195137509,43179.69195137509,0.0,891.7467155456543,10.0
IEEE300_P_1.0_6,15,15,7,5,TIME_LIMIT,42348.09013182462,42088.01446463456,0.006141378899980494,3600.074775695801,15.0
IEEE300_P_1.0_6,20,15,7,5,TIME_LIMIT,42208.6253688837,42199.80557706778,0.00020895709677440233,3600.060359954834,20.0
IEEE300_P_1.0_6,25,15,7,5,TIME_LIMIT,42199.862646653644,42088.01446462248,0.0026504394805188726,3600.091989517212,25.0
IEEE300_P_1.0_7,10,15,7,5,OPTIMAL,43586.5022987417,43585.248012086304,2.877695133237825e-5,1161.399995803833,10.0
IEEE300_P_1.0_7,15,15,7,5,TIME_LIMIT,42646.9148770308,42523.46071260197,0.002894797074648981,3600.1013984680176,15.0
IEEE300_P_1.0_7,20,15,7,5,TIME_LIMIT,42533.64657100354,42523.46071259523,0.00023947766602389767,3600.077630996704,20.0
IEEE300_P_1.0_7,25,15,7,5,TIME_LIMIT,42531.88991668343,42523.460712602566,0.00019818550497937326,3600.164976119995,24.99999814580076
IEEE300_P_1.0_8,10,15,7,5,OPTIMAL,40912.96832425836,40912.96832425836,0.0,1209.9883861541748,10.0
IEEE300_P_1.0_8,15,15,7,5,TIME_LIMIT,39927.01371405396,39762.4698570802,0.004121116048201767,3600.1523761749268,15.0
IEEE300_P_1.0_8,20,15,7,5,TIME_LIMIT,39798.27880101186,39774.30215656613,0.0006024543062680813,3600.106357574463,20.0
IEEE300_P_1.0_8,25,15,7,5,OPTIMAL,39788.667629388256,39787.25273185469,3.556031447803123e-5,265.3201446533203,25.0
IEEE300_P_1.0_9,10,15,7,5,OPTIMAL,43604.32117167983,43604.32117167983,0.0,705.6505756378174,10.0
IEEE300_P_1.0_9,15,15,7,5,TIME_LIMIT,42630.28500099731,42546.76206412508,0.0019592394672068103,3600.0898399353027,15.0
IEEE300_P_1.0_9,20,15,7,5,OPTIMAL,42551.00796640616,42546.76206411929,9.978382392783011e-5,534.1355209350586,20.0
IEEE300_P_1.0_9,25,15,7,5,OPTIMAL,42550.04774596932,42546.76206411968,7.721922826643891e-5,123.21749687194824,25.0
IEEE300_P_1.0_10,10,15,7,5,OPTIMAL,42316.185321626916,42316.185321626916,0.0,909.6669483184814,10.0
IEEE300_P_1.0_10,15,15,7,5,TIME_LIMIT,41488.40497329324,41337.88109674904,0.003628095045859004,3600.0892963409424,15.0
IEEE300_P_1.0_10,20,15,7,5,TIME_LIMIT,41398.29411423611,41337.88109670739,0.001459311762026108,3600.0764808654785,20.0
IEEE300_P_1.0_10,25,15,7,5,TIME_LIMIT,41395.169105354755,41337.881096707366,0.0013839298132007915,3600.122245788574,24.999991923368555
IEEE300_P_1.0_11,10,15,7,5,OPTIMAL,41729.943519391876,41729.943519391876,0.0,1264.3405418395996,10.0
IEEE300_P_1.0_11,15,15,7,5,TIME_LIMIT,40580.5041565609,40503.250016243124,0.0019037254938905083,3600.0559825897217,15.0
IEEE300_P_1.0_11,20,15,7,5,TIME_LIMIT,40509.54773769171,40503.2500162385,0.00015546264534953348,3600.062093734741,20.0
IEEE300_P_1.0_11,25,15,7,5,OPTIMAL,40507.297225703194,40505.60862076365,4.1686438128377566e-5,167.01969146728516,24.0
IEEE300_P_1.0_12,10,15,7,5,OPTIMAL,43020.98568438322,43020.98568438322,0.0,1381.2799625396729,10.0
IEEE300_P_1.0_12,15,15,7,5,TIME_LIMIT,42254.520656399145,42109.09327615656,0.0034416999171558407,3600.0902137756348,14.999999936928077
IEEE300_P_1.0_12,20,15,7,5,TIME_LIMIT,42118.94863099462,42109.093276155305,0.00023398862411454054,3600.0944690704346,20.0
IEEE300_P_1.0_12,25,15,7,5,OPTIMAL,42117.66070944474,42116.37430358311,3.054314603336701e-5,306.0685291290283,25.0
IEEE300_P_1.0_13,10,15,7,5,OPTIMAL,40509.13115143258,40509.13115143258,0.0,1507.8934593200684,10.0
IEEE300_P_1.0_13,15,15,7,5,TIME_LIMIT,39493.13771057837,39384.11733457753,0.0027604890955938315,3600.1118564605713,15.0
IEEE300_P_1.0_13,20,15,7,5,TIME_LIMIT,39388.05729393924,39384.11733457575,0.00010002928893104531,3600.105520248413,20.0
IEEE300_P_1.0_13,25,15,7,5,OPTIMAL,39387.60335746896,39384.11733457495,8.850558543435061e-5,120.33296966552734,25.0
IEEE300_P_1.0_14,10,15,7,5,OPTIMAL,41433.376487443296,41433.3764874428,1.194122129811012e-14,1086.0478591918945,10.0
IEEE300_P_1.0_14,15,15,7,5,TIME_LIMIT,40345.64914174078,40279.14095792328,0.001648459876896487,3600.096435546875,15.0
IEEE300_P_1.0_14,20,15,7,5,TIME_LIMIT,40286.040254141735,40279.1409579205,0.00017125774034162355,3600.0889472961426,20.0
IEEE300_P_1.0_14,25,15,7,5,TIME_LIMIT,40285.705997225945,40279.140957920514,0.00016296200210276057,3600.1599044799805,25.0
IEEE300_P_1.0_15,10,15,7,5,OPTIMAL,42798.87887336645,42798.87887336645,0.0,1198.6332378387451,10.0
IEEE300_P_1.0_15,15,15,7,5,TIME_LIMIT,41855.80875935581,41715.79885536574,0.0033450531273934896,3600.0566368103027,15.000000000024443
IEEE300_P_1.0_15,20,15,7,5,TIME_LIMIT,41730.38948781454,41715.79885536492,0.0003496404569594969,3600.0891304016113,19.000008007470683
IEEE300_P_1.0_15,25,15,7,5,TIME_LIMIT,41730.49969162034,41715.79885536365,0.0003522803792267276,3600.1951484680176,24.9999926665879
IEEE300_P_1.0_16,10,15,7,5,OPTIMAL,41504.28618194457,41503.671951604905,1.4799202592477303e-5,1602.5857162475586,10.0
IEEE300_P_1.0_16,15,15,7,5,TIME_LIMIT,40638.08186767158,40535.834708885945,0.00251604293525906,3600.0595359802246,15.000000000370392
IEEE300_P_1.0_16,20,15,7,5,TIME_LIMIT,40548.68699982548,40535.83470887612,0.0003169594850114445,3600.068592071533,19.999994500547984
IEEE300_P_1.0_16,25,15,7,5,TIME_LIMIT,40548.431210770126,40535.83470887595,0.00031065324891861725,3600.1065635681152,25.0
IEEE300_P_1.0_17,10,15,7,5,OPTIMAL,41113.523206706406,41113.52306437854,3.4618260669805102e-9,1391.166181564331,10.0
IEEE300_P_1.0_17,15,15,7,5,TIME_LIMIT,40093.01037031227,39959.66009889298,0.0033260229198961984,3600.107992172241,15.0
IEEE300_P_1.0_17,20,15,7,5,OPTIMAL,39970.579630771346,39967.5751613233,7.516702223984565e-5,313.24822998046875,20.0
IEEE300_P_1.0_17,25,15,7,5,TIME_LIMIT,39968.05511607402,39959.660098885965,0.0002100431748224025,3600.07240486145,25.000000000024443
IEEE300_P_1.0_18,10,15,7,5,OPTIMAL,40256.19704047988,40256.19704047988,0.0,1248.8513736724854,10.0
IEEE300_P_1.0_18,15,15,7,5,TIME_LIMIT,39343.62324210616,39239.29743044121,0.002651657449619277,3600.0982990264893,15.0
IEEE300_P_1.0_18,20,15,7,5,OPTIMAL,39234.660849885535,39233.35184621866,3.3363450543922813e-5,1887.2740802764893,20.0
IEEE300_P_1.0_18,25,15,7,5,OPTIMAL,39236.367636728304,39233.35184630439,7.686212066923734e-5,185.91063499450684,25.0
IEEE300_P_1.0_19,10,15,7,5,OPTIMAL,41205.45305552462,41205.45303991625,3.787937897685211e-10,1299.1388683319092,10.0
IEEE300_P_1.0_19,15,15,7,5,TIME_LIMIT,40155.890356144926,39967.85670154375,0.004682592091309482,3600.08025932312,14.999999938468193
IEEE300_P_1.0_19,20,15,7,5,TIME_LIMIT,40041.25490984218,39967.85670150776,0.0018330646354538251,3600.1015949249268,20.0
IEEE300_P_1.0_19,25,15,7,5,OPTIMAL,40040.839482397365,40040.01225511303,2.0659588935319898e-5,371.74702072143555,25.0
IEEE300_P_1.0_20,10,15,7,5,OPTIMAL,41612.847434038835,41611.25329407693,3.8308841144097225e-5,1704.0419616699219,10.0
IEEE300_P_1.0_20,15,15,7,5,TIME_LIMIT,40604.911945153464,40474.65178124353,0.0032079903063423633,3600.114543914795,15.0
IEEE300_P_1.0_20,20,15,7,5,TIME_LIMIT,40497.551620549086,40467.05916230079,0.0007529457221018846,3600.096576690674,20.0
IEEE300_P_1.0_20,25,15,7,5,TIME_LIMIT,40498.482565320424,40467.05916230068,0.0007759155659490329,3600.1167182922363,25.0
