data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_1.0_1,10,15,7,5,TIME_LIMIT,40736.98559631778,37950.96945543062,0.06839033620442923,60.031620025634766,10.0
IEEE300_P_1.0_1,15,15,7,5,TIME_LIMIT,39320.752945444896,39155.51951079353,0.004202194064814025,60.02582359313965,15.0
IEEE300_P_1.0_1,20,15,7,5,TIME_LIMIT,39245.404681286986,37994.49067824001,0.031874152227647695,60.02092933654785,20.0
IEEE300_P_1.0_1,25,15,7,5,TIME_LIMIT,39182.19456714418,37813.55484874605,0.03493014450869453,60.03622055053711,25.0
IEEE300_P_1.0_2,10,15,7,5,TIME_LIMIT,42486.64290612126,38410.54679018964,0.09593829582954312,60.03190612792969,10.0
IEEE300_P_1.0_2,15,15,7,5,TIME_LIMIT,41637.8457020209,41249.48105735441,0.009327203127794002,60.03213691711426,15.0
IEEE300_P_1.0_2,20,15,7,5,TIME_LIMIT,41365.38297158615,40772.80188699161,0.014325531205684267,60.027137756347656,19.9999999827628
IEEE300_P_1.0_2,25,15,7,5,TIME_LIMIT,41361.01434293118,38428.63474800608,0.0708971876417789,60.02358818054199,25.0
IEEE300_P_1.0_3,10,15,7,5,TIME_LIMIT,43040.355283798366,38405.62731301338,0.10768331116749945,60.0367374420166,10.0
IEEE300_P_1.0_3,15,15,7,5,TIME_LIMIT,40812.95422752907,38653.96413531757,0.05289962790184953,60.03223991394043,15.0
IEEE300_P_1.0_3,20,15,7,5,OPTIMAL,40692.77283881788,40689.870830546184,7.131507806535621e-5,56.92964172363281,20.0
IEEE300_P_1.0_3,25,15,7,5,OPTIMAL,40691.5422486273,40689.87083054635,4.107531906109488e-5,42.659780502319336,25.0
IEEE300_P_1.0_4,10,15,7,5,TIME_LIMIT,42890.506893144615,41804.785917904184,0.025313782789868736,60.03153610229492,10.0
IEEE300_P_1.0_4,15,15,7,5,TIME_LIMIT,42040.93138778718,38816.12705647827,0.07670630085625826,60.03280830383301,15.0
IEEE300_P_1.0_4,20,15,7,5,TIME_LIMIT,41799.31419668843,41683.63868715557,0.0027674020915400524,60.025583267211914,20.0
IEEE300_P_1.0_4,25,15,7,5,TIME_LIMIT,41709.870585723096,41683.63868715557,0.0006289134490026879,60.03189277648926,25.0
IEEE300_P_1.0_5,10,15,7,5,TIME_LIMIT,43454.96524566629,40120.74519374056,0.07672817209900425,60.033992767333984,10.0
IEEE300_P_1.0_5,15,15,7,5,TIME_LIMIT,42459.58641947763,39330.08144636856,0.07370549826348428,60.025352478027344,15.0
IEEE300_P_1.0_5,20,15,7,5,TIME_LIMIT,42246.3423548281,42172.486084880926,0.0017482287419548052,60.02702331542969,20.0
IEEE300_P_1.0_5,25,15,7,5,TIME_LIMIT,42233.57405011415,42172.48608488139,0.0014464313429943204,60.02103805541992,25.0
IEEE300_P_1.0_6,10,15,7,5,TIME_LIMIT,44657.847661919,38951.18097782046,0.12778642462352188,60.02400588989258,10.0
IEEE300_P_1.0_6,15,15,7,5,TIME_LIMIT,42518.00143357192,39469.560031233166,0.07169766450809051,60.0166015625,15.0
IEEE300_P_1.0_6,20,15,7,5,TIME_LIMIT,42404.79294019376,39235.97103770662,0.07472791830292232,60.01367378234863,20.0
IEEE300_P_1.0_6,25,15,7,5,TIME_LIMIT,42256.30037724258,42088.01446462242,0.003982504647065361,60.03314399719238,22.999999144027015
IEEE300_P_1.0_7,10,15,7,5,TIME_LIMIT,43905.718429274784,39610.63208958422,0.09782521487740309,60.03262519836426,10.0
IEEE300_P_1.0_7,15,15,7,5,TIME_LIMIT,42733.21069939337,39610.63208962042,0.07307147201596247,60.022491455078125,15.0
IEEE300_P_1.0_7,20,15,7,5,TIME_LIMIT,42691.116858484675,39610.63208958363,0.07215751181006662,60.03637886047363,20.0
IEEE300_P_1.0_7,25,15,7,5,TIME_LIMIT,42549.62270988402,42523.460712602566,0.0006148585020325975,60.0435791015625,25.0
IEEE300_P_1.0_8,10,15,7,5,TIME_LIMIT,40912.968324258065,38107.87538172593,0.06856244016078748,60.03363609313965,10.0
IEEE300_P_1.0_8,15,15,7,5,TIME_LIMIT,40403.01716176749,38107.875381748,0.05680619768642758,60.03207969665527,15.0
IEEE300_P_1.0_8,20,15,7,5,TIME_LIMIT,39931.498201812574,39762.469857073054,0.004232957748924306,60.029794692993164,20.0
IEEE300_P_1.0_8,25,15,7,5,TIME_LIMIT,39800.04662913221,39773.6296627204,0.0006637420970374618,60.01826858520508,25.0
IEEE300_P_1.0_9,10,15,7,5,TIME_LIMIT,43861.5305663592,42756.799960924596,0.025186777368911697,60.03579330444336,10.0
IEEE300_P_1.0_9,15,15,7,5,TIME_LIMIT,42632.43351662377,42546.76206411992,0.002009536998877838,60.017459869384766,15.0
IEEE300_P_1.0_9,20,15,7,5,TIME_LIMIT,42554.37939101868,42546.76206411911,0.00017900218517057177,60.03335189819336,20.0
IEEE300_P_1.0_9,25,15,7,5,TIME_LIMIT,42552.201599356515,42546.76206411944,0.0001278320517535752,60.030250549316406,25.0
IEEE300_P_1.0_10,10,15,7,5,TIME_LIMIT,44724.11532698298,38381.64123020389,0.1418132935757043,60.020057678222656,10.0
