data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_0.95_1,45,25,9,0,OPTIMAL,31927.75027,31927.74281,2.34E-07,72.92156792,45
IEEE300_P_0.95_2,45,25,9,0,OPTIMAL,32785.12394,32785.11602,2.42E-07,21.69952774,45
IEEE300_P_0.95_3,45,25,9,0,OPTIMAL,31522.17613,31522.17613,0,7.026250839,45
IEEE300_P_0.95_4,45,25,9,0,OPTIMAL,31025.46898,31025.3778,2.94E-06,11.38681793,41
IEEE300_P_0.95_5,45,25,9,0,OPTIMAL,30926.41292,30925.4437,3.13E-05,9.07897377,45
IEEE300_P_0.95_6,45,25,9,0,OPTIMAL,31130.41409,31129.26995,3.68E-05,12.36060905,44
IEEE300_P_0.95_7,45,25,9,0,OPTIMAL,32180.95438,32178.43538,7.83E-05,22.93840408,43
IEEE300_P_0.95_8,45,25,9,0,OPTIMAL,31682.22576,31680.70357,4.80E-05,13.35334778,44
IEEE300_P_0.95_9,45,25,9,0,OPTIMAL,31412.09986,31411.0675,3.29E-05,7.053642273,45
IEEE300_P_0.95_10,45,25,9,0,OPTIMAL,31298.9084,31296.00169,9.29E-05,20.72628021,45
IEEE300_P_0.95_11,45,25,9,0,OPTIMAL,31610.00912,31609.63099,1.20E-05,16.89218712,45
IEEE300_P_0.95_12,45,25,9,0,OPTIMAL,32236.22908,32236.17621,1.64E-06,48.93545723,44
IEEE300_P_0.95_13,45,25,9,0,OPTIMAL,31533.04177,31530.47434,8.14E-05,12.63805389,45
IEEE300_P_0.95_14,45,25,9,0,OPTIMAL,31784.50323,31783.47682,3.23E-05,8.040723801,45
IEEE300_P_0.95_15,45,25,9,0,OPTIMAL,30762.9613,30762.95651,1.55E-07,21.55174637,45
IEEE300_P_0.95_16,45,25,9,0,OPTIMAL,30950.12588,30949.51607,1.97E-05,10.58290863,45
IEEE300_P_0.95_17,45,25,9,0,TIME_LIMIT,30828.18748,30823.65848,0.000146911,3600.047041,44.00000585
IEEE300_P_0.95_18,45,25,9,0,OPTIMAL,31553.48083,31552.99379,1.54E-05,8.267940521,45
IEEE300_P_0.95_19,45,25,9,0,OPTIMAL,31725.96032,31725.72533,7.41E-06,12.40126228,45
IEEE300_P_0.95_20,45,25,9,0,OPTIMAL,31229.64222,31229.62242,6.34E-07,12.88891983,44
IEEE300_P_1.0_1,45,15,7,5,OPTIMAL,39171.24465,39167.89763,8.54E-05,156.541254,45
IEEE300_P_1.0_2,45,15,7,5,OPTIMAL,41302.08104,41299.12937,7.15E-05,90.32540131,45
IEEE300_P_1.0_3,45,15,7,5,OPTIMAL,40691.93509,40689.87083,5.07E-05,51.02898407,44
IEEE300_P_1.0_4,45,15,7,5,OPTIMAL,41686.3663,41683.63869,6.54E-05,31.41256523,44
IEEE300_P_1.0_5,45,15,7,5,OPTIMAL,42196.50659,42195.12839,3.27E-05,80.18441391,45
IEEE300_P_1.0_6,45,15,7,5,OPTIMAL,42200.84501,42199.80558,2.46E-05,94.53726578,45
IEEE300_P_1.0_7,45,15,7,5,OPTIMAL,42534.91051,42531.60397,7.77E-05,50.5963974,45
IEEE300_P_1.0_8,45,15,7,5,OPTIMAL,39790.74693,39787.25273,8.78E-05,142.4052582,45
IEEE300_P_1.0_9,45,15,7,5,OPTIMAL,42550.57469,42546.76206,8.96E-05,141.6545372,45
IEEE300_P_1.0_10,45,15,7,5,OPTIMAL,41395.39031,41393.72302,4.03E-05,158.5346851,45
IEEE300_P_1.0_11,45,15,7,5,OPTIMAL,40506.35565,40503.25002,7.67E-05,254.6081467,45
IEEE300_P_1.0_12,45,15,7,5,TIME_LIMIT,42117.50468,42109.09328,0.000199713,3600.069975,45
IEEE300_P_1.0_13,45,15,7,5,OPTIMAL,39386.39817,39384.11733,5.79E-05,176.7156811,42
IEEE300_P_1.0_14,45,15,7,5,TIME_LIMIT,40285.69754,40279.14096,0.000162752,3600.24247,45
IEEE300_P_1.0_15,45,15,7,5,OPTIMAL,41730.04992,41729.63743,9.88E-06,370.321722,45
IEEE300_P_1.0_16,45,15,7,5,TIME_LIMIT,40548.38209,40535.83471,0.000309442,3600.176594,44.00000483
IEEE300_P_1.0_17,45,15,7,5,OPTIMAL,39968.47498,39967.57516,2.25E-05,155.6512222,44
IEEE300_P_1.0_18,45,15,7,5,OPTIMAL,39233.81043,39233.35185,1.17E-05,165.6225643,45
IEEE300_P_1.0_19,45,15,7,5,OPTIMAL,40042.13308,40040.01226,5.30E-05,220.2867012,45
IEEE300_P_1.0_20,45,15,7,5,OPTIMAL,40497.35677,40496.45313,2.23E-05,194.4751453,42
IEEE300_P_1.05_1,45,15,5,4,OPTIMAL,50201.22282,50197.87045,6.68E-05,132.1131458,45
IEEE300_P_1.05_2,45,15,5,4,OPTIMAL,51647.14349,51642.62793,8.74E-05,835.3639431,45
IEEE300_P_1.05_3,45,15,5,4,OPTIMAL,51933.75601,51932.42274,2.57E-05,294.7059765,37
IEEE300_P_1.05_4,45,15,5,4,OPTIMAL,51984.77366,51979.79948,9.57E-05,3329.81813,45
IEEE300_P_1.05_5,45,15,5,4,TIME_LIMIT,49616.54787,49599.89487,0.000335634,3600.121569,43
IEEE300_P_1.05_6,45,15,5,4,OPTIMAL,50863.4924,50858.58076,9.66E-05,117.3969975,45
IEEE300_P_1.05_7,45,15,5,4,OPTIMAL,50845.30825,50841.0976,8.28E-05,441.4921436,45
IEEE300_P_1.05_8,45,15,5,4,OPTIMAL,51376.31149,51374.31809,3.88E-05,129.7667103,45
IEEE300_P_1.05_9,45,15,5,4,OPTIMAL,51245.97088,51242.61635,6.55E-05,126.6646538,43
IEEE300_P_1.05_10,45,15,5,4,TIME_LIMIT,50876.15198,50850.68727,0.000500524,3600.074274,42.00000024
IEEE300_P_1.05_11,45,15,5,4,OPTIMAL,51598.12433,51594.35125,7.31E-05,290.2452068,45
IEEE300_P_1.05_12,45,15,5,4,OPTIMAL,53959.97896,53958.04042,3.59E-05,156.4048653,45
IEEE300_P_1.05_13,45,15,5,4,OPTIMAL,52295.06733,52289.99197,9.71E-05,34.21924782,45
IEEE300_P_1.05_14,45,15,5,4,OPTIMAL,51843.24852,51839.27966,7.66E-05,130.4969807,44
IEEE300_P_1.05_15,45,15,5,4,OPTIMAL,51275.96802,51271.54446,8.63E-05,149.7397804,43
IEEE300_P_1.05_16,45,15,5,4,OPTIMAL,52369.43718,52367.88743,2.96E-05,199.6027679,45
IEEE300_P_1.05_17,45,15,5,4,OPTIMAL,51942.90742,51942.64642,5.02E-06,649.4360714,45
IEEE300_P_1.05_18,45,15,5,4,OPTIMAL,52906.22285,52905.60543,1.17E-05,100.8714275,43
IEEE300_P_1.05_19,45,15,5,4,OPTIMAL,48931.35014,48930.3992,1.94E-05,3297.189688,45
IEEE300_P_1.05_20,45,15,5,4,OPTIMAL,51467.73565,51465.70399,3.95E-05,120.0572033,44
