data_instance,card,max_path,max_edge,conv_level,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_0.95_1,45,25,9,0,TIME_LIMIT,31927.75027,31924.06983,0.000115274,60.02806664,45
IEEE300_P_0.95_2,45,25,9,0,OPTIMAL,32785.12394,32785.11602,2.42E-07,18.25300407,45
IEEE300_P_0.95_3,45,25,9,0,OPTIMAL,31522.17613,31522.17613,0,4.963459015,45
IEEE300_P_0.95_4,45,25,9,0,OPTIMAL,31025.46898,31025.3778,2.94E-06,9.323154449,41
IEEE300_P_0.95_5,45,25,9,0,OPTIMAL,30926.41292,30925.4437,3.13E-05,7.631734848,45
IEEE300_P_0.95_6,45,25,9,0,OPTIMAL,31130.41409,31129.26995,3.68E-05,10.46569633,44
IEEE300_P_0.95_7,45,25,9,0,OPTIMAL,32180.95438,32178.43538,7.83E-05,20.68114471,43
IEEE300_P_0.95_8,45,25,9,0,OPTIMAL,31682.22576,31680.70357,4.80E-05,12.11655617,44
IEEE300_P_0.95_9,45,25,9,0,OPTIMAL,31412.09986,31411.0675,3.29E-05,6.239580154,45
IEEE300_P_0.95_10,45,25,9,0,OPTIMAL,31298.9084,31296.00169,9.29E-05,18.24050522,45
IEEE300_P_0.95_11,45,25,9,0,OPTIMAL,31610.00912,31609.63099,1.20E-05,15.32439995,45
IEEE300_P_0.95_12,45,25,9,0,OPTIMAL,32236.22908,32236.17621,1.64E-06,44.25543785,44
IEEE300_P_0.95_13,45,25,9,0,OPTIMAL,31533.04177,31530.47434,8.14E-05,12.76100349,45
IEEE300_P_0.95_14,45,25,9,0,OPTIMAL,31784.50323,31783.47682,3.23E-05,8.082073212,45
IEEE300_P_0.95_15,45,25,9,0,OPTIMAL,30762.9613,30762.95651,1.55E-07,20.73235321,45
IEEE300_P_0.95_16,45,25,9,0,OPTIMAL,30950.12588,30949.51607,1.97E-05,9.239049911,45
IEEE300_P_0.95_17,45,25,9,0,TIME_LIMIT,30828.19382,30823.65848,0.000147117,60.03606224,45
IEEE300_P_0.95_18,45,25,9,0,OPTIMAL,31553.48083,31552.99379,1.54E-05,5.633543015,45
IEEE300_P_0.95_19,45,25,9,0,OPTIMAL,31725.96032,31725.72533,7.41E-06,9.199171066,45
IEEE300_P_0.95_20,45,25,9,0,OPTIMAL,31229.64222,31229.62242,6.34E-07,9.919937134,44
IEEE300_P_1.0_1,45,15,7,5,TIME_LIMIT,39174.26845,39155.51951,0.000478603,60.02997017,45
IEEE300_P_1.0_2,45,15,7,5,TIME_LIMIT,41302.08104,41249.48106,0.001273543,60.02308083,45
IEEE300_P_1.0_3,45,15,7,5,OPTIMAL,40691.93509,40689.87083,5.07E-05,43.26978874,44
IEEE300_P_1.0_4,45,15,7,5,OPTIMAL,41686.3663,41683.63869,6.54E-05,27.49649811,44
IEEE300_P_1.0_5,45,15,7,5,TIME_LIMIT,42204.07109,42195.12839,0.000211892,60.04276657,44
IEEE300_P_1.0_6,45,15,7,5,TIME_LIMIT,42200.84501,39817.05474,0.05648679,60.05171204,45
IEEE300_P_1.0_7,45,15,7,5,OPTIMAL,42534.91051,42531.60397,7.77E-05,43.08525467,45
IEEE300_P_1.0_8,45,15,7,5,TIME_LIMIT,39816.7922,39762.46986,0.001364307,60.03647423,45
IEEE300_P_1.0_9,45,15,7,5,TIME_LIMIT,42576.99126,42546.76206,0.000709989,60.04075623,45
IEEE300_P_1.0_10,45,15,7,5,TIME_LIMIT,41398.64105,41337.8811,0.00146768,60.0109024,45
IEEE300_P_1.0_11,45,15,7,5,TIME_LIMIT,40508.74782,40503.25002,0.000135719,60.02114677,42
IEEE300_P_1.0_12,45,15,7,5,TIME_LIMIT,42123.39949,42109.09328,0.000339626,60.04259109,45
IEEE300_P_1.0_13,45,15,7,5,TIME_LIMIT,39404.50203,39384.11733,0.000517319,60.02495956,45
IEEE300_P_1.0_14,45,15,7,5,TIME_LIMIT,40286.56414,40279.14096,0.00018426,60.02833366,45
IEEE300_P_1.0_15,45,15,7,5,TIME_LIMIT,41761.88031,40596.13913,0.027914001,60.06917953,44
IEEE300_P_1.0_16,45,15,7,5,TIME_LIMIT,40550.21723,40535.83471,0.000354684,60.05856323,44
IEEE300_P_1.0_17,45,15,7,5,TIME_LIMIT,39969.6064,39959.6601,0.000248847,60.02378845,43
IEEE300_P_1.0_18,45,15,7,5,TIME_LIMIT,39241.29639,39233.35185,0.000202454,60.05223083,45
IEEE300_P_1.0_19,45,15,7,5,TIME_LIMIT,40044.33247,39533.46375,0.012757579,60.02995491,44
IEEE300_P_1.0_20,45,15,7,5,TIME_LIMIT,40497.35677,40467.05916,0.000748138,60.03009605,42
IEEE300_P_1.05_1,45,15,5,4,TIME_LIMIT,50206.02763,50197.87045,0.000162474,60.02404785,41
IEEE300_P_1.05_2,45,15,5,4,TIME_LIMIT,51657.43732,51633.00689,0.000472931,60.02155304,45
IEEE300_P_1.05_3,45,15,5,4,TIME_LIMIT,51933.75601,48155.69372,0.072747719,60.03639793,37
IEEE300_P_1.05_4,45,15,5,4,TIME_LIMIT,51994.70199,51959.22457,0.000682327,60.03297043,45
IEEE300_P_1.05_5,45,15,5,4,TIME_LIMIT,49618.6856,49599.89487,0.000378703,60.02016068,44
IEEE300_P_1.05_6,45,15,5,4,OPTIMAL,50863.4924,50858.58076,9.66E-05,49.34862709,45
IEEE300_P_1.05_7,45,15,5,4,TIME_LIMIT,50858.06775,46409.28375,0.087474499,60.03639221,42
IEEE300_P_1.05_8,45,15,5,4,TIME_LIMIT,51410.38736,51374.31809,0.000701595,60.05099487,44
IEEE300_P_1.05_9,45,15,5,4,TIME_LIMIT,51245.97088,51203.17943,0.000835021,60.03419876,43
IEEE300_P_1.05_10,45,15,5,4,TIME_LIMIT,50876.26259,50850.68727,0.000502697,60.04048538,42
IEEE300_P_1.05_11,45,15,5,4,TIME_LIMIT,51612.98511,51556.27796,0.001098699,60.04271317,45
IEEE300_P_1.05_12,45,15,5,4,TIME_LIMIT,53959.97896,52253.95444,0.031616479,60.03325462,45
IEEE300_P_1.05_13,45,15,5,4,OPTIMAL,52295.06733,52289.99197,9.71E-05,17.40659142,45
IEEE300_P_1.05_14,45,15,5,4,TIME_LIMIT,51843.24852,51799.51698,0.000843534,60.02620316,44
IEEE300_P_1.05_15,45,15,5,4,TIME_LIMIT,51279.19178,51271.54446,0.000149131,60.03397179,42
IEEE300_P_1.05_16,45,15,5,4,TIME_LIMIT,52377.93361,52367.88743,0.000191802,60.03339386,44
IEEE300_P_1.05_17,45,15,5,4,TIME_LIMIT,51944.36406,51912.75284,0.000608559,60.04992485,45
IEEE300_P_1.05_18,45,15,5,4,OPTIMAL,52906.22285,52905.60543,1.17E-05,54.35148811,43
IEEE300_P_1.05_19,45,15,5,4,TIME_LIMIT,48935.98226,48908.289,0.000565908,60.02326775,45
IEEE300_P_1.05_20,45,15,5,4,OPTIMAL,51467.73565,51465.70399,3.95E-05,41.75661469,44
