data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,rel_gap
IEEE300_P_100_1,10,TIME_LIMIT,43105.17422,37667.22483,0.126155374,60.03438187,10,,40736.9856,37950.96946,0.068390336,60.03162003,,5.5%
IEEE300_P_100_1,15,TIME_LIMIT,40208.19104,37667.22483,0.063195238,60.02331543,15,,39320.75295,39155.51951,0.004202194,60.02582359,,2.2%
IEEE300_P_100_1,20,TIME_LIMIT,39303.08993,37667.22483,0.041621794,60.03290749,19.99999953,,39245.40468,37994.49068,0.031874152,60.02092934,,0.1%
IEEE300_P_100_1,25,TIME_LIMIT,39258.64201,37667.22483,0.040536735,60.01907158,25,,39182.19457,37813.55485,0.034930145,60.03622055,,0.2%
IEEE300_P_100_2,10,TIME_LIMIT,45834.15822,37911.83859,0.172847499,60.02320862,10,,42486.64291,38410.54679,0.095938296,60.03190613,,7.3%
IEEE300_P_100_2,15,TIME_LIMIT,41597.00064,37911.83859,0.088592014,60.02494049,15,,41637.8457,41249.48106,0.009327203,60.03213692,,-0.1%
IEEE300_P_100_2,20,TIME_LIMIT,41534.86465,37911.83859,0.087228551,60.02873421,20,,41365.38297,40772.80189,0.014325531,60.02713776,,0.4%
IEEE300_P_100_2,25,TIME_LIMIT,41593.05338,39573.45389,0.048556173,60.02544975,25,,41361.01434,38428.63475,0.070897188,60.02358818,,0.6%
IEEE300_P_100_3,10,TIME_LIMIT,44437.74854,38405.62731,0.135743178,60.03846741,10,,43040.35528,38405.62731,0.107683311,60.03673744,,3.1%
IEEE300_P_100_3,15,TIME_LIMIT,41500.96236,38405.62731,0.074584657,60.03464127,15,,40812.95423,38653.96414,0.052899628,60.03223991,,1.7%
IEEE300_P_100_3,20,TIME_LIMIT,40939.5918,38405.62731,0.061895206,60.0213356,20,,40692.77284,40689.87083,7.13E-05,56.92964172,,0.6%
IEEE300_P_100_3,25,TIME_LIMIT,40763.16082,38405.62731,0.057834904,60.02120018,24,,40691.54225,40689.87083,4.11E-05,42.6597805,,0.2%
IEEE300_P_100_4,10,TIME_LIMIT,45606.76349,38816.12706,0.148895381,60.01022911,10,,42890.50689,41804.78592,0.025313783,60.0315361,,6.0%
IEEE300_P_100_4,15,TIME_LIMIT,44784.24206,38816.12706,0.133263727,60.01666451,15,,42040.93139,38816.12706,0.076706301,60.0328083,,6.1%
IEEE300_P_100_4,20,TIME_LIMIT,41886.23888,38816.12706,0.073296431,60.01936722,20,,41799.3142,41683.63869,0.002767402,60.02558327,,0.2%
IEEE300_P_100_4,25,TIME_LIMIT,41780.64299,40352.05162,0.034192661,60.02718925,25,,41709.87059,41683.63869,0.000628913,60.03189278,,0.2%
IEEE300_P_100_5,10,TIME_LIMIT,46232.28042,38969.23803,0.157098943,60.02578354,10,,43454.96525,40120.74519,0.076728172,60.03399277,,6.0%
IEEE300_P_100_5,15,TIME_LIMIT,43506.13809,38969.23803,0.104281838,60.02266884,15,,42459.58642,39330.08145,0.073705498,60.02535248,,2.4%
IEEE300_P_100_5,20,TIME_LIMIT,43183.67155,38969.23803,0.097593219,60.02179146,20,,42246.34235,42172.48608,0.001748229,60.02702332,,2.2%
IEEE300_P_100_5,25,TIME_LIMIT,42467.05286,38976.06379,0.082204647,60.02147865,25,,42233.57405,42172.48608,0.001446431,60.02103806,,0.5%
IEEE300_P_100_6,10,TIME_LIMIT,44960.67273,38533.81278,0.142944034,60.03591537,10,,44657.84766,38951.18098,0.127786425,60.02400589,,0.7%
IEEE300_P_100_6,15,TIME_LIMIT,43699.60102,38533.81278,0.118211337,60.01935387,15,,42518.00143,39469.56003,0.071697665,60.01660156,,2.7%
IEEE300_P_100_6,20,TIME_LIMIT,44795.25167,38533.81278,0.139779076,60.02296257,20,,42404.79294,39235.97104,0.074727918,60.01367378,,5.3%
IEEE300_P_100_6,25,TIME_LIMIT,42283.60674,38533.81278,0.08868198,60.01176262,25,,42256.30038,42088.01446,0.003982505,60.033144,,0.1%
IEEE300_P_100_7,10,TIME_LIMIT,46268.72717,39074.4996,0.155487908,60.02512169,10,,43905.71843,39610.63209,0.097825215,60.0326252,,5.1%
IEEE300_P_100_7,15,TIME_LIMIT,43020.1267,39074.4996,0.091715841,60.02699471,15,,42733.2107,39610.63209,0.073071472,60.02249146,,0.7%
IEEE300_P_100_7,20,TIME_LIMIT,42703.14067,39074.4996,0.084973635,60.01583099,20,,42691.11686,39610.63209,0.072157512,60.03637886,,0.0%
IEEE300_P_100_7,25,TIME_LIMIT,42577.27336,40088.52173,0.058452583,60.02298737,25,,42549.62271,42523.46071,0.000614859,60.0435791,,0.1%
IEEE300_P_100_8,10,TIME_LIMIT,43866.27158,38107.87538,0.131271612,60.01769447,10,,40912.96832,38107.87538,0.06856244,60.03363609,,6.7%
IEEE300_P_100_8,15,TIME_LIMIT,40941.24838,38107.87538,0.069205828,60.02269173,15,,40403.01716,38107.87538,0.056806198,60.0320797,,1.3%
IEEE300_P_100_8,20,TIME_LIMIT,39835.9619,38107.87538,0.043380062,60.02810287,20,,39931.4982,39762.46986,0.004232958,60.02979469,,-0.2%
IEEE300_P_100_8,25,TIME_LIMIT,40077.25024,38179.03889,0.047363812,60.0304184,25,,39800.04663,39773.62966,0.000663742,60.01826859,,0.7%
IEEE300_P_100_9,10,TIME_LIMIT,46234.18943,38788.55742,0.16104169,60.03416252,10,,43861.53057,42756.79996,0.025186777,60.0357933,,5.1%
IEEE300_P_100_9,15,TIME_LIMIT,43219.13884,38830.53514,0.101543062,60.01534462,15,,42632.43352,42546.76206,0.002009537,60.01745987,,1.4%
IEEE300_P_100_9,20,TIME_LIMIT,42851.65628,38788.55742,0.094817779,60.0290184,20,,42554.37939,42546.76206,0.000179002,60.0333519,,0.7%
IEEE300_P_100_9,25,TIME_LIMIT,42579.6982,39015.48013,0.083706983,60.03499031,25,,42552.2016,42546.76206,0.000127832,60.03025055,,0.1%
IEEE300_P_100_10,10,TIME_LIMIT,44616.95377,37795.78447,0.1528829,60.02829933,10,,44724.11533,38381.64123,0.141813294,60.02005768,,-0.2%
IEEE300_P_100_10,15,TIME_LIMIT,42915.51573,37795.78447,0.119297908,60.02626991,15,,41488.40497,41337.8811,0.003628095,60.04215622,,3.3%
IEEE300_P_100_10,20,TIME_LIMIT,41433.42323,38325.51644,0.075009655,60.0308857,20,,41461.19377,41337.8811,0.002974171,60.02934074,,-0.1%
IEEE300_P_100_10,25,TIME_LIMIT,41441.94825,38324.82668,0.075216579,60.02013779,25,,41395.47577,41337.8811,0.001391328,60.02766991,,0.1%
IEEE300_P_100_11,10,TIME_LIMIT,44368.13748,37869.75128,0.146465156,60.0213871,10,,44120.22483,37876.93096,0.141506393,60.02739334,,0.6%
IEEE300_P_100_11,15,TIME_LIMIT,41518.47094,37869.75128,0.087881841,60.02321434,15,,40580.50416,40503.25002,0.001903725,60.01386642,,2.3%
