data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open
IEEE300_P_95_1,45,OPTIMAL,31927.76664205008,31927.74280969164,7.464461484348531e-7,98.98525810241699,45.0
IEEE300_P_95_2,45,OPTIMAL,32785.116016927175,32785.116016927175,0.0,27.41925048828125,45.0
IEEE300_P_95_3,45,OPTIMAL,31522.673282831187,31521.271986031024,4.445361557979737e-5,38.416290283203125,45.0
IEEE300_P_95_4,45,OPTIMAL,31025.383311283953,31025.37779856009,1.7768431118516236e-7,19.7211971282959,45.0
IEEE300_P_95_5,45,OPTIMAL,30926.013744323925,30923.01064794251,9.710583479153245e-5,17.826751708984375,45.0
IEEE300_P_95_6,45,OPTIMAL,31129.287843195132,31129.26994662602,5.749109713721264e-7,89.33215141296387,45.0
IEEE300_P_95_7,45,OPTIMAL,32180.803865014077,32178.435375184825,7.359946131821639e-5,16.99966812133789,43.0
IEEE300_P_95_8,45,OPTIMAL,31681.558935292116,31680.70357497631,2.699868139551071e-5,16.980655670166016,45.0
IEEE300_P_95_9,45,OPTIMAL,31412.07405785014,31412.07405785014,0.0,22.97718048095703,44.00000011371708
IEEE300_P_95_10,45,OPTIMAL,31298.916616983228,31296.001689971286,9.313188209076196e-5,20.318370819091797,35.0
IEEE300_P_95_11,45,OPTIMAL,31610.18662253909,31608.601918175485,5.013271141132415e-5,18.383249282836914,45.0
IEEE300_P_95_12,45,OPTIMAL,32236.281658303695,32236.176207131346,3.2711952782411225e-6,30.415325164794922,45.0
IEEE300_P_95_13,45,OPTIMAL,31532.991927889434,31532.97565770371,5.159734210994013e-7,29.446027755737305,44.0
IEEE300_P_95_14,45,OPTIMAL,31785.709085133356,31783.476818636056,7.022862039418604e-5,10.223873138427734,41.0
IEEE300_P_95_15,45,OPTIMAL,30763.29347452461,30762.956513473735,1.095334773415661e-5,32.52133560180664,45.0
IEEE300_P_95_16,45,OPTIMAL,30949.98005979372,30947.775729097695,7.122236239788243e-5,17.544960021972656,45.0
IEEE300_P_95_17,45,OPTIMAL,30828.187484249152,30828.187484249152,0.0,43.16352844238281,45.0
IEEE300_P_95_18,45,OPTIMAL,31552.99675698227,31552.993791488632,9.398453211467067e-8,58.44969940185547,44.0000080433216
IEEE300_P_95_19,45,OPTIMAL,31725.729396762654,31725.725328485132,1.2823274985122705e-7,34.0231990814209,43.0
IEEE300_P_95_20,45,OPTIMAL,31229.639144039287,31229.423396288574,6.908429191845757e-6,100.40890121459961,45.0
IEEE300_P_100_1,45,OPTIMAL,39168.205626175535,39166.0639455753,5.4679058333138934e-5,2793.6807613372803,45.0
IEEE300_P_100_2,45,TIME_LIMIT,41299.18656355895,41249.48105735428,0.0012035468574707866,3600.0443267822266,45.0
IEEE300_P_100_3,45,OPTIMAL,40693.39366273444,40689.870830546235,8.657012529845565e-5,116.71738624572754,45.0
IEEE300_P_100_4,45,OPTIMAL,41685.08987542715,41683.63868715552,3.481312565144785e-5,68.37752342224121,45.0
IEEE300_P_100_5,45,OPTIMAL,42198.0112370449,42195.12838681972,6.831720596934941e-5,100.46195793151855,45.0
IEEE300_P_100_6,45,OPTIMAL,42200.079087148595,42198.41014995887,3.954820052057753e-5,1148.4279384613037,45.0
IEEE300_P_100_7,45,TIME_LIMIT,42531.62315190212,42523.46071259515,0.0001919145967651614,3600.081624984741,43.999997431483166
IEEE300_P_100_8,45,TIME_LIMIT,39787.401250978335,39762.46985707278,0.00062661528829919,3600.0880851745605,45.0
IEEE300_P_100_9,45,OPTIMAL,42550.8884046957,42546.76206411918,9.697425203617943e-5,53.80775260925293,45.0
IEEE300_P_100_10,45,OPTIMAL,41395.151647563835,41391.023347829316,9.972906415869506e-5,3232.9253826141357,45.0
IEEE300_P_100_11,45,OPTIMAL,40507.11810507326,40505.608620763785,3.726466804086227e-5,76.17650032043457,44.0
IEEE300_P_100_12,45,OPTIMAL,42120.30577195482,42116.37430358321,9.333902733043465e-5,120.96085739135742,44.0
IEEE300_P_100_13,45,OPTIMAL,39385.84264883365,39384.11733457484,4.38054423309358e-5,222.0556926727295,45.0
IEEE300_P_100_14,45,TIME_LIMIT,40288.95679240574,40279.140957920405,0.00024363585624501987,3600.028797149658,44.0
IEEE300_P_100_15,45,TIME_LIMIT,41730.02769345751,41715.798855363646,0.00034097360774321735,3600.1460456848145,45.00000000002444
IEEE300_P_100_16,45,TIME_LIMIT,40548.63956489975,40535.83470887575,0.00031579002801077673,3600.087787628174,45.0
IEEE300_P_100_17,45,TIME_LIMIT,39968.293423489165,39959.66009888598,0.00021600433402824693,3600.0483207702637,45.0
IEEE300_P_100_18,45,TIME_LIMIT,39233.38941715645,39189.79218801684,0.0011112277013860395,3600.0526237487793,42.00000010926897
IEEE300_P_100_19,45,OPTIMAL,40041.60638969403,40040.01225512587,3.9811953412895774e-5,127.67422485351562,45.0
IEEE300_P_100_20,45,TIME_LIMIT,40496.47753729401,40467.05916230047,0.0007264428113889186,3600.0553817749023,43.00000667499239
IEEE300_P_105_1,45,OPTIMAL,50199.2664855731,50197.870446515815,2.7809949328325685e-5,78.20513534545898,44.0
IEEE300_P_105_2,45,OPTIMAL,51651.861225886474,51647.04406780319,9.326204262454879e-5,95.74483489990234,45.0
IEEE300_P_105_3,45,OPTIMAL,51937.17318636861,51932.422744622294,9.146515789889191e-5,129.35579299926758,44.00000262478602
IEEE300_P_105_4,45,OPTIMAL,51989.69125212559,51984.66725015677,9.663457981423205e-5,98.62924385070801,45.0
IEEE300_P_105_5,45,OPTIMAL,49618.31937509103,49616.08314597681,4.50686186550387e-5,371.71336364746094,38.0
IEEE300_P_105_6,45,OPTIMAL,50860.03966299469,50858.580756384385,2.8684732060259375e-5,439.7679672241211,41.0
IEEE300_P_105_7,45,OPTIMAL,50844.9791843534,50841.09759940689,7.634155837562936e-5,113.7866096496582,41.0
IEEE300_P_105_8,45,OPTIMAL,51377.478752711075,51374.31808898224,6.151846695412783e-5,126.1026439666748,45.0
IEEE300_P_105_9,45,TIME_LIMIT,51242.616347819734,51203.179426276896,0.0007696117870943912,3600.0508041381836,43.00000348624178
IEEE300_P_105_10,45,TIME_LIMIT,50876.4651322669,50850.68726860898,0.0005066756031675502,3600.0566062927246,45.0
IEEE300_P_105_11,45,OPTIMAL,51597.15504543572,51594.351251079905,5.434009594805459e-5,338.08756828308105,45.0
IEEE300_P_105_12,45,OPTIMAL,53961.28328205109,53958.0404177581,6.009612996114101e-5,109.06671524047852,45.0
IEEE300_P_105_13,45,OPTIMAL,52292.15014436946,52289.991967520255,4.127152628539758e-5,144.66555786132812,45.0
IEEE300_P_105_14,45,OPTIMAL,51844.307339139734,51839.27966194195,9.697645615924632e-5,404.86219024658203,45.0
IEEE300_P_105_15,45,OPTIMAL,51273.496226826755,51271.54446446829,3.8065716249083503e-5,83.62760734558105,45.0
IEEE300_P_105_16,45,OPTIMAL,52372.98016356194,52367.88743467984,9.72396236798442e-5,667.6036338806152,44.0
IEEE300_P_105_17,45,OPTIMAL,51944.986897025454,51942.64641804923,4.505687874867458e-5,101.99289131164551,45.0
IEEE300_P_105_18,45,OPTIMAL,52905.60577768394,52905.6054342347,6.491736255636732e-9,429.39640617370605,44.000000009161056
IEEE300_P_105_19,45,OPTIMAL,48935.14429431362,48930.39919595132,9.69670863492241e-5,78.46589469909668,45.0
IEEE300_P_105_20,45,TIME_LIMIT,51488.143765936606,51459.433925585574,0.0005576009980384169,3600.065814971924,45.0
