data_instance,card,sol_status,obj_val,obj_bound,gap,time,num_open,,obj_val,obj_bound,gap,time,,
IEEE300_P_95_1,45,TIME_LIMIT,31931.5946,31887.27933,0.001387819,60.0231266,44,,31927.75027,31924.06983,0.000115274,60.02806664,,0.0%
IEEE300_P_95_2,45,OPTIMAL,32785.11602,32785.11602,0,26.7389183,45,,32785.12394,32785.11602,2.42E-07,18.25300407,,0.0%
IEEE300_P_95_3,45,OPTIMAL,31522.67328,31521.27199,4.45E-05,38.12450218,45,,31522.17613,31522.17613,0,4.963459015,,0.0%
IEEE300_P_95_4,45,OPTIMAL,31025.38331,31025.3778,1.78E-07,19.25939178,45,,31025.46898,31025.3778,2.94E-06,9.323154449,,0.0%
IEEE300_P_95_5,45,OPTIMAL,30926.01374,30923.01065,9.71E-05,17.79655266,45,,30926.41292,30925.4437,3.13E-05,7.631734848,,0.0%
IEEE300_P_95_6,45,TIME_LIMIT,31129.34439,31124.04934,0.000170098,60.02451134,45,,31130.41409,31129.26995,3.68E-05,10.46569633,,0.0%
IEEE300_P_95_7,45,OPTIMAL,32180.80387,32178.43538,7.36E-05,16.80948067,43,,32180.95438,32178.43538,7.83E-05,20.68114471,,0.0%
IEEE300_P_95_8,45,OPTIMAL,31681.55894,31680.70357,2.70E-05,16.85765266,45,,31682.22576,31680.70357,4.80E-05,12.11655617,,0.0%
IEEE300_P_95_9,45,OPTIMAL,31412.07406,31412.07406,0,22.52251053,44.00000011,,31412.09986,31411.0675,3.29E-05,6.239580154,,0.0%
IEEE300_P_95_10,45,OPTIMAL,31298.91662,31296.00169,9.31E-05,19.55500031,35,,31298.9084,31296.00169,9.29E-05,18.24050522,,0.0%
IEEE300_P_95_11,45,OPTIMAL,31610.18662,31608.60192,5.01E-05,18.15460587,45,,31610.00912,31609.63099,1.20E-05,15.32439995,,0.0%
IEEE300_P_95_12,45,OPTIMAL,32236.28166,32236.17621,3.27E-06,29.45579529,45,,32236.22908,32236.17621,1.64E-06,44.25543785,,0.0%
IEEE300_P_95_13,45,OPTIMAL,31532.99193,31532.97566,5.16E-07,27.91423225,44,,31533.04177,31530.47434,8.14E-05,12.76100349,,0.0%
