x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
-393.5361661845398,-393.49491720600554,-393.4814728912367,-393.47682118683974,-393.5365714203421,-393.53576094873756,-393.51614954897786,-393.5697326974913,-393.4547783722624,-393.44325467388825,-393.4760107152342,-393.4783365674322,-393.5423332695302,-393.5280784831543,-393.51422893258166,-393.50148952679916,-393.543143741136,-393.5388972725416,-393.54850035451955,-393.5234267787573,-393.50533075959055,-393.46367654525403,-393.5527468231142,-393.44709590668015,-393.43627711729334,-393.5191803101626,-393.48561379721167,-393.48956059262224,-393.44709590668015,-393.47176424663957
-924.1788906051964,-924.2279559037794,-924.5961187345847,-924.4147856851821,-924.3221518200148,-924.0356293903794,-924.4183150767149,-924.3402040670745,-923.93790408261,-924.253472223303,-924.1282632555466,-924.2189297802478,-924.1643677496708,-924.2460081508391,-924.4709097668295,-924.3566942630686,-924.4508901793039,-924.4128183447173,-924.1498448941416,-924.0646751014356,-924.2515048828392,-924.1573089666015,-924.1879167287269,-924.1482828430699,-923.9814726491954,-924.0266032668478,-923.8652898049695,-924.5290011889431,-924.1482828430711,-924.0901914209576
-637.0311412260938,-637.1628604145033,-637.3727660028497,-637.2990215812308,-637.0979999495254,-636.9642825026648,-637.1972889054443,-637.0193680881713,-637.1308756434281,-637.310794719155,-637.1653041343704,-637.2021763451795,-637.0080404116625,-637.0842285531498,-637.2272754180656,-637.2066183235,-637.1417578585215,-637.1348721603349,-636.9849395972294,-637.01048413153,-637.1466452982567,-637.2115057632345,-636.9918252954176,-637.2508216939125,-637.200178086727,-637.0035984333409,-637.0153715712661,-637.3196786757962,-637.2508216939117,-637.1584184361818
-387.92664747168556,-387.92664747168504,-387.92664747168504,-387.92664747168556,-387.92664747168504,-387.92664747168504,-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.92664747168504,-387.92664747168556,-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168504,-387.9266474716846,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168504
-245.8477654105307,-245.8477654105307,-245.84776541053103,-245.84776541053103,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.84776541053103,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.84776541053103,-245.8477654105307,-245.84776541053103,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105304,-245.8477654105307,-245.8477654105307
-5197.194873289516,-5197.913300173596,-5198.092906894617,-5197.82349681308,-5198.003103534106,-5197.55408673155,-5197.464283371047,-5197.105069929006,-5197.194873289516,-5197.823496813086,-5198.003103534106,-5197.37448001053,-5198.182710255127,-5197.73369345257,-5198.182710255127,-5198.092906894617,-5197.733693452577,-5197.733693452577,-5197.82349681308,-5196.835659847469,-5197.105069929006,-5197.4642833710395,-5198.003103534106,-5198.092906894617,-5198.182710255127,-5197.015266568496,-5196.835659847476,-5197.194873289516,-5198.092906894617,-5197.643890092067
-578.3484381084882,-578.3573464610871,-578.3595735492369,-578.3562329170115,-578.3584600051613,-578.3528922847869,-578.3517787407135,-578.3473245644132,-578.3484381084882,-578.3562329170122,-578.358460005162,-578.3506651966378,-578.3606870933118,-578.3551193729381,-578.3606870933118,-578.3595735492364,-578.3551193729373,-578.3551193729373,-578.3562329170115,-578.3439839321886,-578.3473245644132,-578.3517787407127,-578.358460005162,-578.3595735492369,-578.3606870933111,-578.3462110203376,-578.3439839321879,-578.3484381084882,-578.3595735492369,-578.3540058288609
-767.5176730294496,-767.5176730294498,-767.5176730294492,-767.5176730294494,-767.5176730294496,-767.5176730294494,-767.5176730294489,-767.5176730294493,-767.5176730294498,-767.5176730294495,-767.5176730294492,-767.5176730294498,-767.517673029449,-767.5176730294495,-767.5176730294492,-767.5176730294488,-767.5176730294494,-767.5176730294488,-767.5176730294493,-767.5176730294494,-767.5176730294498,-767.517673029449,-767.5176730294488,-767.5176730294502,-767.5176730294493,-767.5176730294496,-767.51767302945,-767.5176730294492,-767.5176730294496,-767.5176730294494
-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451006999,-585.3624451007007,-585.3624451006999,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451006999,-585.3624451007007,-585.3624451007015,-585.3624451006991,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451006999,-585.3624451006999,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007
-1992.340287054391,-1992.3402870543896,-1992.3402870543919,-1992.3402870543916,-1992.3402870543916,-1992.3402870543925,-1992.3402870543919,-1992.3402870543914,-1992.3402870543916,-1992.3402870543914,-1992.3402870543919,-1992.3402870543941,-1992.3402870543925,-1992.3402870543919,-1992.3402870543925,-1992.3402870543932,-1992.3402870543932,-1992.3402870543925,-1992.340287054393,-1992.3402870543916,-1992.3402870543919,-1992.3402870543916,-1992.340287054391,-1992.3402870543925,-1992.3402870543907,-1992.340287054391,-1992.3402870543878,-1992.3402870543925,-1992.3402870543914,-1992.3402870543907
