x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
-399.4875758531901,-399.53563469233495,-399.62759761380653,-399.5926707919545,-399.51963413425744,-399.4549506449535,-399.55907241532316,-399.49403286898206,-399.5061745885271,-399.5868340055278,-399.5301584225925,-399.54834125588087,-399.4786715251924,-399.510089094902,-399.57228697836985,-399.55839019338515,-399.54249865893973,-399.5378071465911,-399.46973596135547,-399.4729367917071,-399.53163461704963,-399.5476346612167,-399.4746296279034,-399.5603204501059,-399.5326981046929,-399.4680224917413,-399.46134284668534,-399.60629773593143,-399.5603204501054,-399.52539532681084
-943.0975112879751,-943.1697294239436,-943.0390798255321,-943.1285334059538,-943.0345801987008,-943.1607480842437,-943.0389761499154,-942.9517592786639,-943.3895703974804,-943.2748282482812,-943.2564461916515,-943.2111557522996,-943.0897464073536,-943.086770356464,-943.0205136874745,-943.098652464347,-942.9643386417233,-942.9902494365618,-943.0819508508239,-943.1763524063132,-943.1358818084104,-943.2715168082386,-943.0558005754021,-943.3129954575254,-943.4122163585118,-943.2027502889279,-943.3512141414107,-943.050320209269,-943.3129954575254,-943.2829493097381
-648.7347329759397,-648.6315218346955,-648.5680396025168,-648.572690668893,-648.7231314558952,-648.7461360995497,-648.6657523093221,-648.8015494373776,-648.5595672225771,-648.5069509612052,-648.594778302685,-648.5927950490498,-648.7509053308108,-648.7093978321301,-648.6565460868967,-648.6361825192729,-648.7274235266111,-648.7206532046398,-648.7671129670462,-648.7138088407683,-648.6543869782964,-648.5630735488534,-648.774052362634,-648.5245416363908,-648.5121984863229,-648.7067812609182,-648.6391649579589,-648.592956276612,-648.5245416363899,-648.5877882106682
-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.9266474716853,-387.92664747168504,-387.92664747168556,-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168504,-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.92664747168556,-387.92664747168504,-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.92664747168504,-387.92664747168556,-387.92664747168556,-387.92664747168504,-387.92664747168504,-387.92664747168556,-387.92664747168556
-245.8477654105307,-245.8477654105307,-245.8477654105304,-245.84776541053103,-245.8477654105304,-245.84776541053103,-245.8477654105307,-245.84776541053103,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.84776541053103,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105304,-245.8477654105307,-245.8477654105307,-245.8477654105304,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.8477654105307,-245.84776541053103,-245.8477654105304
-5226.53965502373,-5226.897223205583,-5226.9866220330805,-5226.852524809204,-5226.941922280197,-5226.718433689329,-5226.673738005734,-5226.494962052595,-5226.539655023724,-5226.852524809197,-5226.941922280204,-5226.62904300028,-5227.0313224642405,-5226.807827091053,-5227.0313224642405,-5226.9866220330805,-5226.807827091046,-5226.807827091046,-5226.852524809197,-5226.360887207526,-5226.494962052595,-5226.673738005734,-5226.941922280197,-5226.9866220330805,-5227.0313224642405,-5226.450269759531,-5226.360887207526,-5226.53965502373,-5226.9866220330805,-5226.763130051097
-581.8093650988511,-581.8140278656358,-581.8151934777053,-581.8134450476571,-581.8146106756527,-581.8116965459426,-581.8111136961121,-581.808782217175,-581.8093650988519,-581.8134450476571,-581.8146106756527,-581.8105308383197,-581.8157762717944,-581.8128622217139,-581.8157762717952,-581.8151934777061,-581.8128622217155,-581.8128622217147,-581.8134450476571,-581.8070335243802,-581.808782217175,-581.8111136961121,-581.8146106756527,-581.8151934777061,-581.8157762717952,-581.8081993275385,-581.8070335243794,-581.8093650988519,-581.8151934777053,-581.8122793878097
-767.5176730294488,-767.5176730294498,-767.5176730294498,-767.5176730294488,-767.5176730294488,-767.5176730294498,-767.5176730294498,-767.5176730294488,-767.5176730294488,-767.5176730294498,-767.5176730294488,-767.5176730294498,-767.5176730294488,-767.5176730294498,-767.5176730294488,-767.5176730294498,-767.5176730294488,-767.5176730294498,-767.5176730294488,-767.5176730294498,-767.5176730294498,-767.5176730294488,-767.5176730294488,-767.5176730294498,-767.5176730294498,-767.5176730294498,-767.5176730294498,-767.5176730294498,-767.5176730294498,-767.5176730294488
-585.3624451007007,-585.3624451006999,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451006999,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007015,-585.3624451006999,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451006999,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451007007,-585.3624451006999,-585.3624451007007,-585.3624451007007,-585.3624451007007
-1992.340287054393,-1992.3402870543903,-1992.3402870543878,-1992.340287054393,-1992.340287054393,-1992.340287054393,-1992.340287054393,-1992.340287054393,-1992.3402870543878,-1992.340287054393,-1992.3402870543903,-1992.340287054393,-1992.340287054393,-1992.340287054393,-1992.340287054393,-1992.3402870543903,-1992.340287054393,-1992.340287054393,-1992.3402870543903,-1992.340287054393,-1992.3402870543903,-1992.340287054393,-1992.340287054393,-1992.3402870543903,-1992.3402870543955,-1992.340287054393,-1992.340287054393,-1992.340287054393,-1992.3402870543903,-1992.340287054393
